text,section,header,div,p,s,id,match_test,has_F,match_es,has_es
"Compared with congruent TMS, incongruent TMS was found to significantly reduce meta-d′/d′, F(1, 33) = 5.91, p = .02, η p 2 = .15 (Fig. 4; see also Table S2 in the Supplemental Material).",results,Metacognitive Efficiency,8,4,1,0956797614557697,"F(1, 33) = 5.91",TRUE,η p 2 = .15,TRUE
"This effect held when we analyzed meta-d′ uncorrected by d′, F(1, 33) = 4.60, p = .04, η p 2 = .12.",results,Metacognitive Efficiency,8,4,2,0956797614557697,"F(1, 33) = 4.60",TRUE,η p 2 = .12,TRUE
"However, the absence of a postresponse effect of TMS on meta-d′/d′ should be interpreted with caution, as the Congruence × Time interaction was not significant, F(1, 34) = 2.21, p = .15, η p 2 = .06.",results,Metacognitive Efficiency,8,4,4,0956797614557697,"F(1, 34) = 2.21",TRUE,η p 2 = .06,TRUE
"The effect of TMS congruence on meta-d′/d′ was consistent across experiments-interaction with experiment: F(1, 33) = 0.70, p = .41, η p 2 = .02 (Fig.",results,Metacognitive Efficiency,8,4,5,0956797614557697,"F(1, 33) = 0.70",TRUE,η p 2 = .02,TRUE
"In keeping with an absence of an effect of M1 TMS on confidence, results showed that M1 stimulation had no effect on metacognitive efficiency, F(1, 16) = 0.13, p = .73, η p 2 = .008 (Fig.",results,Metacognitive Efficiency,8,4,7,0956797614557697,"F(1, 16) = 0.13",TRUE,η p 2 = .008,TRUE
"A significant group difference was found in suppression-induced forgetting, as revealed by a significant condition-by-group interaction, F(1, 30) = 7.556, p = .010, η p 2 = .201.",results,TNT-task performance,10,2,2,0956797615569889,"F(1, 30) = 7.556",TRUE,η p 2 = .201,TRUE
"This interaction was driven by a significant inversion of suppression-induced forgetting in the PTSD group (i.e., better memory performance for suppress items compared with baseline items; M = -5.2%), F(1, 15) = 5.288, p = .036, η p 2 = .261 (Bayes factor favoring the alternative hypothesis = 2.09), in the absence of significant suppression in the control group (M = 3.5%, n.s.).",results,TNT-task performance,10,2,3,0956797615569889,"F(1, 15) = 5.288",TRUE,η p 2 = .261,TRUE
"Although the PTSD group showed a significant facilitation effect (M = 5.9%), F(1, 15) = 7.525, p = .015, η p 2 = .334, and the control group did not (M = 2.8%, n.s.), there was no significant group difference in facilitation, F(1, 30) = 1.215, p = .279, η p 2 = .039 (Fig. 3a).",results,TNT-task performance,10,2,4,0956797615569889,"F(1, 15) = 7.525; F(1, 30) = 1.215",TRUE,η p 2 = .334; η p 2 = .039,TRUE
"A significant group difference in suppressioninduced forgetting was observed, as indicated by a significant condition-by-group interaction, F(1, 30) = 4.573, p = .041, η p 2 = .132.",results,TNT-task performance,10,3,2,0956797615569889,"F(1, 30) = 4.573",TRUE,η p 2 = .132,TRUE
"This interaction was driven by significant suppression-induced forgetting in the control group (M = 10.8%), F(1, 15) = 22.123, p < .001, η p 2 = .596, in the absence of significant suppression-induced forgetting in the PTSD group (M = 1.7%), F(1, 15) = 0.297, p = .594, η p 2 = .019.",results,TNT-task performance,10,3,3,0956797615569889,"F(1, 15) = 22.123; F(1, 15) = 0.297",TRUE,η p 2 = .596; η p 2 = .019,TRUE
"As for the two previous measures, a significant group difference in suppression-induced forgetting was observed, established by a significant condition-by-group interaction, F(1, 30) = 14.231, p = .001, η p 2 = .322.",results,Details.,11,1,1,0956797615569889,"F(1, 30) = 14.231",TRUE,η p 2 = .322,TRUE
"This interaction was driven once again by a significant suppression effect in the control group (M = 1.19), F(1, 15) = 33.548, p < .001, η p 2 = .691, in the absence of significant suppression in the PTSD group (M = -0.14), F(1, 15) = 0.224, p = .643, η p 2 = .015.",results,Details.,11,1,2,0956797615569889,"F(1, 15) = 33.548; F(1, 15) = 0.224",TRUE,η p 2 = .691; η p 2 = .015,TRUE
"Although the PTSD group showed a significant facilitation effect (M = 0.68), F(1, 15) = 5.575, p = .032, η p 2 = .271, and the control group showed only a marginally significant effect (M = 0.56), F(1, 15) = 4.368, p = .054, η p 2 = .226, the difference between the groups was not significant, F(1, 30) = 0.100, p = .754, η p 2 = .003 (Fig. 3c).",results,Details.,11,1,4,0956797615569889,"F(1, 15) = 5.575; F(1, 15) = 4.368; F(1, 30) = 0.100",TRUE,η p 2 = .271; η p 2 = .226; η p 2 = .003,TRUE
"Specifically, both groups showed significant suppression-induced forgetting on the gist measure-low group: M = 13%, F(1, 6) = 30.388, p = .001, η p 2 = .835; high group: M = 8%, F(1, 6) = 8.641, p = .026, η p 2 = .590.",results,The effects of depressive symptoms,14,2,4,0956797615569889,"F(1, 6) = 30.388; F(1, 6) = 8.641",TRUE,η p 2 = .835; η p 2 = .590,TRUE
"They also showed highly significant suppression-induced forgetting on the details measure-low group: M = 1.35, F(1, 6) = 11.631, p = .014, η p 2 = .660; high group: M = 1.03, F(1, 6) = 27.222, p = .002, η p 2 = .819.",results,The effects of depressive symptoms,14,2,5,0956797615569889,"F(1, 6) = 11.631; F(1, 6) = 27.222",TRUE,η p 2 = .660; η p 2 = .819,TRUE
"When we more closely matched depression symptoms by comparing the low-BDI-II PTSD group with the high-BDI-II control group, we observed a marginally significant group-by-condition interaction for the details measure, F(1, 16) = 4.032, p = .062, η p 2 = .201.",results,The effects of depressive symptoms,14,3,1,0956797615569889,"F(1, 16) = 4.032",TRUE,η p 2 = .201,TRUE
"In that analysis, the group difference in suppression-induced forgetting only approached significance, F(1, 30) = 3.869, p = .058, η p 2 = .114.",results,Conditionalized final-test data,15,1,2,0956797615569889,"F(1, 30) = 3.869",TRUE,η p 2 = .114,TRUE
"First, prior to the intervention (over the first 24 hr after viewing the film: Day 0), we confirmed that the four groups experienced a similar number of intrusive memories, F(3, 68) = 0.16, p = .92 (Fig. 4a).",results,Results,11,2,2,0956797615583071,"F(3, 68) = 0.16",TRUE,,FALSE
"Second, and critically, for the 7-day diary postintervention, there was a significant difference between groups in overall intrusion frequency in daily life, F(3, 68) = 3.80, p = .01, η p 2 = .14 (Fig. 4b).",results,Results,11,3,2,0956797615583071,"F(3, 68) = 3.80",TRUE,η p 2 = .14,TRUE
"Third, a similar pattern was seen on a convergent measure-the frequency of IPT intrusions on Day 7 in the laboratory, for which there was an overall significant difference between groups, F(3, 68) = 5.57, p = .002, η p 2 = .20 (Fig. 4c; Day 7).",results,Results,11,3,6,0956797615583071,"F(3, 68) = 5.57",TRUE,η p 2 = .20,TRUE
"Finally, as predicted, there was no significant difference among groups on the tests of either visual, F(3, 68) = 1.67, p = .18, or verbal, F(3, 68) = 0.85, p = .47, recognition memory of the trauma film (see Table S2 in the Supplemental Material).",results,Results,11,6,2,0956797615583071,"F(3, 68) = 1.67; F(3, 68) = 0.85",TRUE,,FALSE
"Analysis of variance indicated that facial features of the photographs also influenced loan-request success in the neuroimaging study, F(3, 76) = 2.86, p = .042.",results,Neuroimaging study,7,1,1,0956797615588467,"F(3, 76) = 2.86",TRUE,,FALSE
"A 2 (alignment) × 2 (congruency) × 2 (task) repeated measures analysis of variance (ANOVA) revealed a main effect of congruency, F(1, 21) = 41.84, p < .001, η p 2 = .67; sensitivity was higher on congruent than on incongruent trials (M = 2.40, SE = 0.14, vs.",results,Results,5,1,2,0956797615617779,"F(1, 21) = 41.84",TRUE,η p 2 = .67,TRUE
"The interaction between congruency and alignment was also significant, F(1, 21) = 25.81, p < .001, η p 2 = .55; the congruency effect was larger in the aligned conditions than in the misaligned conditions.",results,Results,5,1,4,0956797615617779,"F(1, 21) = 25.81",TRUE,η p 2 = .55,TRUE
"The three-way interaction of alignment, congruency, and task was not significant, F(1, 21) = 3.80, p = .065, η p 2 = .15, which suggests that the line patterns were processed as holistically as the human faces, despite their dramatically different appearance.",results,Results,5,1,6,0956797615617779,"F(1, 21) = 3.80",TRUE,η p 2 = .15,TRUE
"For the face task, the congruency effect, F(1, 21) = 26.35, p < .001, η p 2 = .56, and the interaction between congruency and alignment, F(1, 21) = 7.97, p = .010, η p 2 = .28, were both significant.",results,Results,5,2,2,0956797615617779,"F(1, 21) = 26.35; F(1, 21) = 7.97",TRUE,η p 2 = .56; η p 2 = .28,TRUE
"A 2 (alignment) × 2 (congruency) × 2 (task) ANOVA revealed a significant congruency effect, F(1, 19) = 55.83, p < .001, η p 2 = .75; sensitivity was higher on congruent than on incongruent trials (M = 2.45, SE = 0.13, vs.",results,Results,7,1,3,0956797615617779,"F(1, 19) = 55.83",TRUE,η p 2 = .75,TRUE
"The interaction between congruency and alignment was also significant, F(1, 19) = 44.64, p < .001, η p 2 = .70; the congruency effect was larger in the aligned conditions than in the misaligned conditions.",results,Results,7,1,5,0956797615617779,"F(1, 19) = 44.64",TRUE,η p 2 = .70,TRUE
"The significant three-way interaction, F(1, 19) = 9.78, p = .006, η p 2 = .34, suggests that holistic processing was even more prominent for line patterns than for faces.",results,Results,7,1,6,0956797615617779,"F(1, 19) = 9.78",TRUE,η p 2 = .34,TRUE
"The congruency effect was significant for both faces, F(1, 19) = 15.01, p = .001, η p 2 = .44, and line patterns, F(1, 19) = 42.27, p < .001, η p 2 = .69.",results,Results,7,2,2,0956797615617779,"F(1, 19) = 15.01; F(1, 19) = 42.27",TRUE,η p 2 = .44; η p 2 = .69,TRUE
"The Congruency × Alignment interaction was marginally significant for faces, F(1, 19) = 4.12, p = .057, η p 2 = .18, and significant for line patterns, F(1, 19) = 85.53, p < .001, η p 2 = .82.",results,Results,7,2,3,0956797615617779,"F(1, 19) = 4.12; F(1, 19) = 85.53",TRUE,η p 2 = .18; η p 2 = .82,TRUE
"The pattern task also showed overall lower performance in the misaligned condition than in the aligned condition, F(1, 19) = 4.59, p = .045, η p 2 = .19.",results,Results,7,2,6,0956797615617779,"F(1, 19) = 4.59",TRUE,η p 2 = .19,TRUE
"A 2 (alignment) × 2 (congruency) × 2 (task) ANOVA revealed a significant congruency effect, F(1, 21) = 26.51, p < .001, η p 2 = .56, reflecting greater sensitivity on congruent than on incongruent trials (M = 2.63, SE = 0.12, vs.",results,Results,9,1,3,0956797615617779,"F(1, 21) = 26.51",TRUE,η p 2 = .56,TRUE
"between congruency and alignment was also significant, F(1, 21) = 11.94, p < .001, η p 2 = .36, reflecting a larger congruency effect in the aligned conditions than in the misaligned conditions.",results,Results,9,2,1,0956797615617779,"F(1, 21) = 11.94",TRUE,η p 2 = .36,TRUE
"The three-way interaction was not significant, F(1, 21) = 0.01, p = .930, η p 2 < .01, which suggests that holistic processing of faces and dot patterns is qualitatively similar.",results,Results,9,2,3,0956797615617779,"F(1, 21) = 0.01",TRUE,η p 2 < .01,TRUE
"The congruency effect was significant for both faces, F(1, 21) = 14.64, p < .001, η p 2 = .41, and dot patterns, F(1, 21) = 14.53, p = .001, η p 2 = .41, as was the interaction between congruency and alignment, F(1, 21) = 9.17, p = .006, η p 2 = .30, and F(1, 21) = 6.39, p = .020, η p 2 = .23, respectively.",results,Results,9,3,3,0956797615617779,"F(1, 21) = 14.64; F(1, 21) = 14.53; F(1, 21) = 9.17; F(1, 21) = 6.39",TRUE,η p 2 = .41; η p 2 = .41; η p 2 = .30; η p 2 = .23,TRUE
"As found with the line patterns in Experiment 1b, the dot-pattern task showed overall lower performance in the misaligned than in the aligned condition, F(1, 21) = 28.10, p < .001, η p 2 = .57.",results,Results,9,3,5,0956797615617779,"F(1, 21) = 28.10",TRUE,η p 2 = .57,TRUE
"Across the experiments, the holistic-processing effect for faces remained constant (Experiment 1a: M = 0.51, SE = 0.18; Experiment 1b: M = 0.50, SE = 0.25; Experiment 2: M = 0.48, SE = 0.16), F(2, 63) = 0.01, p = .993.",results,Results,9,5,3,0956797615617779,"F(2, 63) = 0.01",TRUE,,FALSE
"These effects cannot be explained by the helmet affecting anxiety, as anxiety did not change significantly as a function of condition, F(1, 78) = 0.19, p = .66, time of measurement, F(2, 156) = 2.37, p = .10, or an interaction between the two, F(2, 156) = 1.18, p = .31 (Fig. 2c).",results,Results,7,1,3,0956797615620784,"F(1, 78) = 0.19; F(2, 156) = 2.37; F(2, 156) = 1.18",TRUE,,FALSE
"CS-) averaged across groups and blocks, F(1, 76) = 42.58, p < .001, 95% CI for the difference between CS types = [0.29, 0.54], which demonstrates overall conditioning to the CS+.",results,Results,7,3,2,0956797615625973,"F(1, 76) = 42.58",TRUE,,FALSE
"There was a significant interaction of CS type and the contrast between the uninformed and informed groups, which reflects the fact that the instruction given to the informed group greatly increased the degree to which participants in this group differentiated between the CS+ and the CS-, F(1, 76) = 17.18, p < .001, 95% CI = [-1.11, -0.39].",results,Results,7,3,3,0956797615625973,"F(1, 76) = 17.18",TRUE,,FALSE
"However, CS type did not interact significantly with the contrast between the uninformed and random groups; the uninformed group showed no better differentiation than the random group, F(1, 76) = 1.29, p = .26, 95% CI = [-0.16, 0.57].",results,Results,7,3,4,0956797615625973,"F(1, 76) = 1.29",TRUE,,FALSE
"Further interactions with CS type indicated that the relational group showed weaker differentiation than the informed group, F(1, 76) = 11.29, p = .001, 95% CI = [-0.97, -0.25], and no better differentiation than the uninformed group, F < 1.",results,Results,7,3,5,0956797615625973,"F(1, 76) = 11.29",TRUE,F < 1.,TRUE
"Three-way interactions with linear trend across blocks confirmed that the relational group showed the greatest acquisition of differentiation between the CS+ and the CS-s across training compared with both the uninformed group, F(1, 76) = 5.84, p = .018, 95% CI = [0.05, 0.49], and the informed group, F(1, 76) = 8.54, p = .005, 95% CI = [0.10, 0.55].",results,Results,7,3,7,0956797615625973,"F(1, 76) = 5.84; F(1, 76) = 8.54",TRUE,,FALSE
"The clear evidence of differential responding among the aware participants increased across blocks and was confirmed by a main effect of CS type, F(1, 24) = 25.05, p < .001, 95% CI = [0.20, 0.63], which interacted with linear trend over blocks, F(1, 24) = 11.20, p = .003, 95% CI = [0.07, 0.54].",results,Results,7,4,2,0956797615625973,"F(1, 24) = 25.05; F(1, 24) = 11.20",TRUE,,FALSE
"By contrast, there was no evidence of differential responding to the CS+ and the CS-among the unaware participants, F(1, 14) = 1.42, p = .254, 95% CI = [-0.16, 0.41], and no interaction with linear trend over blocks, F < 1.",results,Results,7,4,3,0956797615625973,"F(1, 14) = 1.42",TRUE,F < 1.,TRUE
"There was a main effect of CS type, F(1, 43) = 31.26, p < .001, 95% CI = [0.55, 1.17], but CS type did not interact with group (i.e., aware group vs. informed group), F < 1.",results,Results,7,4,5,0956797615625973,"F(1, 43) = 31.26",TRUE,F < 1.,TRUE
"Overview of Univariate Analyses Exploring the Effect of Run Type and Run Position on Expectancy Ratings, Motor Evoked Potentials (MEP), and Response Latencies Variable Sum of squares effect Sum of squares error F p Generalized η 2 Expectancy Run type 1,065.49 493.08 F(1, 15) = 36.40 .001 .675 Run position 0.14 7.86 F(4, 60) = 0.26 .740 < .001 Run Type × Run Position 13.48 60.95 F(4, 60) = 3.31 .077 .025 MEP in Pulse 1 trials Run type 10,391,891 10,748,643 F(1, 15) = 14.50 .002 .039 Run position 1,428,150 10,542,930 F(4, 60) = 2.03 .142 .006 Run Type × Run Position 10,736,847 22,211,297 F(4, 60) = 7.25 .003 .041 MEP in Pulse 2 trials Run type 5,624,981 7,104,247 F(1, 15) = 11.88 .004 .035 Run position 1,351,374 9,365,766 F(4, 60) = 2.16 .137 .008 Run Type × Run Position 3,853,323 11,419,358 F(4, 60) = 5.06 .014 .024 RT Run position 175,327 268,273 F(4, 60) = 9.80 .001 .060 Note: Reaction time (RT) data were produced only on go trials.",discussion,Discussion,8,4,2,0956797616631990,"F(1, 15) = 36.40; F(4, 60) = 0.26; F(4, 60) = 3.31; F(1, 15) = 14.50; F(4, 60) = 2.03; F(4, 60) = 7.25; F(1, 15) = 11.88; F(4, 60) = 2.16; F(4, 60) = 5.06; F(4, 60) = 9.80",TRUE,,FALSE
"In addition, the absolute impact of losses and gains on ratings of feelings relative to a zero outcome revealed no difference, F(1, 55) = 0.01, p = .92, η p 2 = .00018.",results,Characterizing a feeling function,9,4,4,0956797616634654,"F(1, 55) = 0.01",TRUE,η p 2 = .00018,TRUE
"This revealed a significant interactionexpected feelings: F(1, 55) = 6.54, p = .013, η p 2 = .106; experienced feelings: F(1, 55) = 7.46, p = .008, η p 2 = .119 (Fig.",results,Feelings associated with losses are weighted more than feelings associated with gains when decisions are being made,12,3,3,0956797616634654,"F(1, 55) = 6.54; F(1, 55) = 7.46",TRUE,η p 2 = .106; η p 2 = .119,TRUE
"A Sex Ratio × Participant Sex analysis of variance (ANOVA) on the investment composite revealed only a main effect of sex ratio, F(1, 101) = 5.21, p = .025, η p 2 = .05, 90% CI = [.003, .131].",results,Results,9,1,2,0956797616636631,"F(1, 101) = 5.21",TRUE,η p 2 = .05,TRUE
"Further, the effect of the sex-ratio manipulation remained significant when we controlled for self-reported financial-investment experience (mean investment experience = 3.73), F(1, 100) = 4.12, p = .045, η p 2 = .04, 90% CI = [.001, .118].",results,Results,9,1,6,0956797616636631,"F(1, 100) = 4.12",TRUE,η p 2 = .04,TRUE
"A Sex Ratio × Participant Sex ANOVA on retirementinvestment variance revealed only a main effect of sex ratio, F(1, 74) = 6.11, p = .016, η p 2 = .08, 90% CI = [.008, .184].",results,Results,12,3,1,0956797616636631,"F(1, 74) = 6.11",TRUE,η p 2 = .08,TRUE
"Further, the effect of sex-ratio skew remained significant even when we controlled for whether a person possessed a current retirement account (20.5% had an account), F(1, 73) = 6.20, p = .015, η p 2 = .08, 90% CI = [.008, .188].",results,Results,12,3,5,0956797616636631,"F(1, 73) = 6.20",TRUE,η p 2 = .08,TRUE
"A Sex Ratio × Participant Sex ANOVA on vaccineinvestment variance revealed a main effect of sex ratio, F(1, 74) = 14.93, p = .0002, η p 2 = .17, 90% CI = [.056, .290].",results,Results,12,4,1,0956797616636631,"F(1, 74) = 14.93",TRUE,η p 2 = .17,TRUE
"A main effect of participant sex also emerged, F(1, 74) = 6.31, p = .01, η p 2 = .08, 90% CI = [.009, .187], with men (mean variance = 217.81, Note: The table presents means, with standard deviations in parentheses, followed by within-participants variances, which were used in analyses.",results,Results,12,4,4,0956797616636631,"F(1, 74) = 6.31",TRUE,η p 2 = .08,TRUE
"A marginal Sex Ratio × Participant Sex interaction was also observed, F(1, 74) = 3.08, p = .08, η p 2 = .04, 90% CI = [.000, .133].",results,Results,12,4,7,0956797616636631,"F(1, 74) = 3.08",TRUE,η p 2 = .04,TRUE
