text,section,header,div,p,s,id,match_test,has_t,match_es,has_es
"Furthermore, a similar pattern was seen on a convergent measure-the frequency of IPT intrusions assessed on Day 7 in the laboratory, t(50) = 3.80, p < .001, d = 1.05 (Fig. 1c).",results,Results,6,3,3,0956797615583071,t(50) = 3.80,TRUE,d = 1.05,TRUE
"As expected on the basis of previous studies, t tests showed that there were no differences between groups on tests of either verbal, t(50) = 0.93, p = .36, or visual, t(50) = 1.00, p = .32, recognition memory of the film (Table S1 in the Supplemental Material)-this is consistent with the possibility that intrusivememory frequency (diary/IPT intrusion score) was influenced while leaving recognition memory (for facts and scenes in the trauma film) intact.",results,Time course of intrusions.,7,2,2,0956797615583071,t(50) = 0.93; t(50) = 1.00,TRUE,,FALSE
"Planned comparisons demonstrated that relative to the no-task control group, only those in the reactivation-plus-Tetris group, t(22.63) = 2.99, p = .007, d = 1.00, experienced significantly fewer intrusive memories; this finding replicated Experiment 1.",results,Results,11,3,3,0956797615583071,t(22.63) = 2.99,TRUE,d = 1.00,TRUE
"Critically, as predicted by reconsolidation theory, the reactivationplus-Tetris group had significantly fewer intrusive memories than the Tetris-only group, t(27.96) = 2.52, p = d = 0.84, as well as the reactivation-only group, t(25.68) = 3.32, p = .003, d = 1.11.",results,Results,11,3,4,0956797615583071,t(27.96) = 2.52; t(25.68) = 3.32,TRUE,d = 0.84; d = 1.11,TRUE
"Further, there were no significant differences between the no-task control group and the reactivation-only group, t(32.23) = 0.22, p = .83, or between the no-task control group and the Tetris-only group, t(30.03) = 1.01, p = .32.",results,Results,11,3,5,0956797615583071,t(32.23) = 0.22; t(30.03) = 1.01,TRUE,,FALSE
"Planned comparisons showed that there was a significantly lower intrusion score in the reactivation-plus-Tetris group compared with the no-task control group, t(68) = 2.92, p = .005, d = 0.97, which replicated the results of Experiment 1.",results,Results,11,3,7,0956797615583071,t(68) = 2.92,TRUE,d = 0.97,TRUE
"Critically, in line with reconsolidation theory, the reactivation-plus-Tetris group also differed significantly from both the reactivation-only group, t(68) = 3.92, p < .001, d = 1.31, and the Tetris-only group, t(68) = 2.56, p = .01, d = 0.85.",results,Results,11,3,8,0956797615583071,t(68) = 3.92; t(68) = 2.56,TRUE,d = 1.31; d = 0.85,TRUE
"Further, the reactivation-only group, t(68) = 1.00, p = .32, and the Tetris-only group, t(68) = 0.36, p = .72, did not differ significantly from the no-task control group.",results,Results,11,3,9,0956797615583071,t(68) = 1.00; t(68) = 0.36,TRUE,,FALSE
"The only category of photographs for which the loan-request lending rate exceeded the average rate was the ""happy"" photographs, bootstrapped t(2358) = 6.24, p < .001 (Fig. 2c).",results,Internet study,6,5,2,0956797615588467,t(2358) = 6.24,TRUE,,FALSE
"Direct pairwise comparisons via bootstrapped t-test analyses indicated that requests with photographs classified as happy were funded at a higher rate than those with photographs classified as sad (the category with the next best lending rate), t(3023) = 2.02, p < .05, β = 0.133, 95% CI = [0.004, 0.263]).",results,Internet study,6,6,1,0956797615588467,t(3023) = 2.02,TRUE,,FALSE
"Bootstrapped pairwise t tests revealed that high-positive-arousal loan requests elicited more lending than high-negative-arousal loan requests, t(48) = 2.54, p = .015, β = 0.12, 95% CI = [0.03, 0.21], and low-positive-arousal loan requests, t(48) = 2.43, p = .020, β = 0.12, 95% CI = [0.02, 0.20] (all other pairwise comparisons were not significant).",results,Neuroimaging study,7,1,3,0956797615588467,t(48) = 2.54; t(48) = 2.43,TRUE,,FALSE
"In all three panels, error bars represent 95% confidence intervals. r = .322, 95% CI = [.110, .502], t = 2.96, p < .01.",results,Neuroimaging study,7,3,3,0956797615588467,t = 2.96,TRUE,r = .322,TRUE
"A linear regression indicated that positive-arousal scores of the neuroimaging sample, t = 8.37, p < .001, but not negativearousal scores of this sample, t = -1.95, p = .055, were associated with Internet lending rates.",results,Neuroimaging study,7,3,4,0956797615588467,t = 8.37; t = -1.95,TRUE,,FALSE
"Bootstrapped correlations also verified that the neuroimaging sample's positive-arousal scores were associated with Internet lending rates, bootstrapped r = .411, 95% CI = [.212, .574], t = 3.94, p < .001.",results,Neuroimaging study,7,3,5,0956797615588467,t = 3.94,TRUE,r = .411,TRUE
"Further, in a combined model that included choice, affect, and neural variables from the neuroimaging study, only NAcc activity, t = 2.08, p = .035, and positive arousal, t = 16.63, p < .001, remained significantly associated with Internet lending rate; choice, negative arousal, and activity in other neural regions of interest were no longer significantly associated with Internet lending rate.",results,Neuroimaging study,7,5,3,0956797615588467,t = 2.08; t = 16.63,TRUE,,FALSE
"There was a significant interactive effect of time and political orientation, b = -0.09, SE = 0.04, 95% CI = [-0.16, -0.02], t(1922) = -2.49, p = .013, on the endorsement of the in-group foundation (see Table S2 in CI = [-0.14, -0.04], t(1922) = -3.59, p < .001, disappeared after 7/7, b = 0.004, SE = 0.02, 95% CI = [-0.04, 0.05], t(1922) = 0.17, p > .250 (see Fig.",results,Moderation analyses,12,2,2,0956797615615584,t(1922) = -2.49; t(1922) = -3.59; t(1922) = 0.17,TRUE,b = -0.09; b = 0.004,TRUE
"Contrary to expectations, our results revealed no significant main effect of time, b = -0.13, SE = 0.22, 95% CI = [-0.55, 0.30], t(1922) = -0.58, p > .250, political orientation, b = 0.05, SE = 0.10, 95% CI = [-0.15, 0.24], t(1922) = 0.47, p > .250, or their interaction, b = 0.04, SE = 0.06, 95% CI = [-0.08, 0.16], t(1922) = 0.67, p > .250, on endorsement of the authority foundation.",results,Moderation analyses,12,2,5,0956797615615584,t(1922) = -0.58; t(1922) = 0.47; t(1922) = 0.67,TRUE,b = -0.13; b = 0.05; b = 0.04,TRUE
"Again, contrary to expectations, our results revealed no significant main effect of time, b = -0.18, SE = 0.14, 95% CI = [-0.46, 0.10], t(1922) = -1.26, p = .208, political orientation, b = -0.08, SE = 0.06, 95% CI = [-0.20, 0.04], t(1922) = -1.26, p = .209, or their interaction, b = 0.04, SE = 0.04, 95% CI = [-0.04, 0.12], t(1922) = 1.05, p > .250, on endorsement of the harm foundation.",results,Moderation analyses,12,2,7,0956797615615584,t(1922) = -1.26; t(1922) = -1.26; t(1922) = 1.05,TRUE,b = -0.18; b = -0.08; b = 0.04,TRUE
"There was a significant interactive effect of time and political orientation on attitudes toward Muslims, b = -0.08, SE = 0.04, 95% CI = [-0.15, -0.01], t(1922) = -2.12, p = .034 (see Table S2 in the Supplemental Material).",results,Moderation analyses,12,3,2,0956797615615584,t(1922) = -2.12,TRUE,b = -0.08,TRUE
"Time increased negative attitudes among liberal participants, b = 0.13, SE = 0.06, 95% CI = [0.02, 0.24], t(1922) = 2.34, p = .020, but did not affect attitudes among conservative participants, b = -0.04, SE = 0.06, 95% CI = [-0.15, 0.07], t(1922) = -0.64, p > .250.",results,Moderation analyses,12,3,3,0956797615615584,t(1922) = 2.34; t(1922) = -0.64,TRUE,b = 0.13; b = -0.04,TRUE
"Put differently, the difference between liberals' and conservatives' attitudes was greater before 7/7, b = 0.14, SE = 0.03, 95% CI = [0.09, 0.19], t(1922) = 5.36, p < .001, than after 7/7, b = 0.06, SE = 0.03, 95% CI = [0.01, 0.11], t(1922) = 2.53, p = .012 (see Fig.",results,Moderation analyses,12,3,4,0956797615615584,t(1922) = 5.36; t(1922) = 2.53,TRUE,b = 0.14; b = 0.06,TRUE
"There was a significant interactive effect of time and political orientation on attitudes toward immigrants, b = -0.09, SE = 0.04, 95% CI = [-0.16, -0.01], t(1922) = -2.28, p = .023 (see Table S2 in the Supplemental Material).",results,Moderation analyses,12,4,2,0956797615615584,t(1922) = -2.28,TRUE,b = -0.09,TRUE
"Time increased negative attitudes among liberal participants, b = 0.22, SE = 0.06, 95% CI = [0.10, 0.33], t(1922) = 3.63, p < .001, but did not affect attitudes among conservative participants, b = 0.03, SE = 0.06, 95% CI = [-0.09, 0.14], t(1922) = 0.45, p > .250.",results,Moderation analyses,12,4,3,0956797615615584,t(1922) = 3.63; t(1922) = 0.45,TRUE,b = 0.22; b = 0.03,TRUE
"Put differently, the difference between liberals' and conservatives' attitudes was greater before 7/7, b = 0.16, SE = 0.03, 95% CI = [0.11, 0.22], t(1922) = 5.92, p < .001, than after 7/7, b = 0.08, SE = 0.03, 95% CI = [0.02, 0.13], t(1922) = 2.90, p = .004 (see Fig.",results,Moderation analyses,12,4,4,0956797615615584,t(1922) = 5.92; t(1922) = 2.90,TRUE,b = 0.16; b = 0.08,TRUE
"Specifically, the significant interactive effect of time and political orientation on attitudes toward Muslims reported earlier was eliminated when we accounted for the effects of endorsement of the in-group and fairness foundations, b = -0.05, SE = 0.04, 95% CI = [-0.12, 0.02], t(1920) = -1.38, p = .168.",fig,,3,,3,0956797615615584,t(1920) = -1.38,TRUE,b = -0.05,TRUE
"Specifically, the significant interactive effect of time and political orientation on attitudes toward immigrants reported earlier was eliminated when we accounted for the effects of endorsement of the in-group and fairness foundations, b = -0.05, SE = 0.04, t(1920) = -1.44, p = .151, 95% CI = [-0.13, 0.02].",fig,,3,,9,0956797615615584,t(1920) = -1.44,TRUE,b = -0.05,TRUE
"The congruency effect was significant in the aligned conditions of the face task, t(19) = 3.60, p = .002, Cohen's d = 0.80, and the line-pattern task, t(19) = 8.39, p < .001, Cohen's d = 1.88, but was not significant in the misaligned conditions, t(19) = 0.92, p = .367, Cohen's d = 0.21, and t(21) = 0.85, p = .404, Cohen's d = 0.19, respectively.",results,Results,7,2,4,0956797615617779,t(19) = 3.60; t(19) = 8.39; t(19) = 0.92; t(21) = 0.85,TRUE,Cohen's d = 0.80; Cohen's d = 1.88; Cohen's d = 0.21; Cohen's d = 0.19,TRUE
"We found a larger holisticprocessing effect for line patterns (M = 1.20, SE = 0.13; Experiments 1a and 1b combined) than for dot patterns (M = 0.50, SE = 0.20; Experiment 2), t(62) = 3.00, p = .004, Cohen's d = 0.74.",results,Results,9,4,3,0956797615617779,t(62) = 3.00,TRUE,Cohen's d = 0.74,TRUE
"The magnitude of this effect was equivalent to that for the dot patterns, t(21) = 0.09, p = .930, but smaller than that for the line patterns, t(41) = 3.60, p < .001, Cohen's d = 0.56.",results,Results,9,5,4,0956797615617779,t(21) = 0.09; t(41) = 3.60,TRUE,Cohen's d = 0.56,TRUE
") = 4.37, p < .001, Cohen's d = 0.93; dot patterns: t(21) = 4.00, p < .001, Cohen's d = 0.85-but not in the misaligned conditions-faces: t(21) = 1.46, p = .160, Cohen's d = 0.31; dot patterns: t(21) = 1.49, p = .152, Cohen's d = 0.32.",fig,,3,,1,0956797615617779,t(21) = 4.00; t(21) = 1.46; t(21) = 1.49,TRUE,Cohen's d = 0.93; Cohen's d = 0.85; Cohen's d = 0.31; Cohen's d = 0.32,TRUE
"Wearing a helmet was associated with higher risk-taking scores (M = 40.40, SD = 18.18) than wearing a cap (M = 31.06, SD = 13.29), t(78) = 2.63, p = .01, d = 0.59 (Fig. 2a).",results,Results,7,1,1,0956797615620784,t(78) = 2.63,TRUE,d = 0.59,TRUE
"Similarly, participants who wore a helmet reported higher sensation-seeking scores (M = 23.23, SD = 7.00) than participants who wore a cap (M = 18.78, SD = 5.09), Welch's t(69.19) = 3.24, p = .002, d = 0.73 (Fig. 2b).",results,Results,7,1,2,0956797615620784,t(69.19) = 3.24,TRUE,d = 0.73,TRUE
"There was no relationship between risk taking and gender, t(78) = 0.45, p = .66, bicycling experience (ρ = .12, p = .27), and extent of helmet use when bicycling (ρ = .06, p = .60), nor, in regression modeling, interactions of any of these variables (e.g., the Condition × Bicycling Experience interaction was not significant; t = 0.39, p = .70).",results,Results,7,1,5,0956797615620784,t(78) = 0.45; t = 0.39,TRUE,,FALSE
"Similar to the value function in prospect theory, ρ was significantly smaller than 1-expected feelings: ρ = .512, SD = .26, 95% confidence interval (CI) = [.418, .558], t(55) = -14.05, p < .001, Cohen's d = 1.88; experienced feelings: ρ = .425, SD = .23, 95% CI = [.513, .637], t(55) = -18.52, p < .001, Cohen's d = 2.5-which indicates that the feeling function was concave in the gain domain and convex in the loss domain.",results,Characterizing a feeling function,9,2,4,0956797616634654,t(55) = -14.05; t(55) = -18.52,TRUE,Cohen's d = 1.88; Cohen's d = 2.5,TRUE
"Specifically, the curvature (ρ) was smaller for the experienced-feeling function relative to the expected-feeling function-paired-samples t(55) = 3.31, p = .002, Cohen's d = 0.442, 95% CI = [0.034, 0.138], while there was no difference in sensitivity values (βs), t(55) = 0.65, p = .52, Cohen's d = 0.087, 95% CI = [-0.079, 0.155].",results,Impact bias increases with the amount at stake,10,1,3,0956797616634654,t(55) = 3.31; t(55) = 0.65,TRUE,Cohen's d = 0.442; Cohen's d = 0.087,TRUE
"Parameters in Model Expected-Feeling Models Experienced-Feeling Models Specifically, ω parameters from our choice models, which predicted choices from feelings, revealed a greater weight for feelings associated with losses (ω L ) relative to feelings associated with gains (ω G ) in predicting choicefor expected feelings: t(55) = 3.04, p = .004, 95% CI = [0.684, 3.33], Cohen's d = 0.406; for experienced feelings: t(55) = 2.93, p = .005, 95% CI = [0.599, 3.19], Cohen's d = 0.392 (Fig. 4b).",results,Feelings associated with losses are weighted more than feelings associated with gains when decisions are being made,12,2,3,0956797616634654,t(55) = 3.04; t(55) = 2.93,TRUE,Cohen's d = 0.406; Cohen's d = 0.392,TRUE
"S1 in the Supplemental Material)-driven by a greater weight put on feelings associated with losses relative to feelings associated with gains during mixedgamble choices-expected feelings: t(55) = 3.66, p = .001, 95% CI = [1.67, 5.71], Cohen's d = 0.489; experienced feelings: t(55) = 2.45, p = .018, 95% CI = [0.91, 9.10], Cohen's d = 0.327-but not during loss-versus gain-only trials-expected feelings: t(55) = 0.82, p = .42, 95% CI = [-3.25, 7.71], Cohen's d = 0.109; experienced feelings: t(55) = 0.79, p = .43, 95% CI = [-2.75, 6.32], Cohen's d = 0.105.",results,Feelings associated with losses are weighted more than feelings associated with gains when decisions are being made,12,3,4,0956797616634654,t(55) = 3.66; t(55) = 2.45; t(55) = 0.82; t(55) = 0.79,TRUE,Cohen's d = 0.489; Cohen's d = 0.327; Cohen's d = 0.109; Cohen's d = 0.105,TRUE
"The results showed no difference in the weight assigned to the value of losses and gains per se, t(55) < 1.2, p > .23, Cohen's d < .17, only to the weight assigned to the associated feelings-expected feelings: t(55) = 3.59, p = .001, 95% CI = [1.29, 4.55], Cohen's d = .479; experienced feelings:",results,Feelings associated with losses are weighted more than feelings associated with gains when decisions are being made,12,4,3,0956797616634654,t(55) = 3.59,TRUE,Cohen's d < .17; Cohen's d = .479,TRUE
"Feeling (Change From Baseline) t(55) = 2.28, p = .027, 95% CI = [0.197, 2.89], Cohen's d = 0.307.",results,Feelings associated with losses are weighted more than feelings associated with gains when decisions are being made,12,6,1,0956797616634654,t(55) = 2.28,TRUE,Cohen's d = 0.307,TRUE
"Using the standard t-test formula, but replacing the variance with the mean square error (Howell, 2013), we obtained a significant result, t(237) = 2.21, p = .014.",results,Results,15,3,2,0956797616636631,t(237) = 2.21,TRUE,,FALSE
"A robust within-subjects Yuen t test (Wilcox, 2012;Yuen, 1974) indicated that respondents' reported acceptable power levels differed significantly from the calculated power based on their responses to the other questions, t(171) = 19.38, p < .001, ξ = .82, 95% confidence interval (CI) for the difference = [.36, .44].",results,Results,2,5,1,0956797616647519,t(171) = 19.38,TRUE,,FALSE
"The average calculated power for this group of respondents (M t = .46, 95% CI = [.37, .55]) was not significantly higher than that for the remaining respondents in the researcher condition (M t = .42, 95% CI = [.34, .51]).",results,Results,5,3,6,0956797616647519,t = .46; t = .42,TRUE,,FALSE
"Furthermore, the amount of bias did not differ significantly between respondents who mentioned typically doing power analyses (M t = -.31, 95% CI = [-.40, -.22]) and those who did not (M t = -.30, 95% CI = [-.39, -.22]).",results,Results,5,3,7,0956797616647519,t = -.31; t = -.30,TRUE,,FALSE
"We did not find a significant effect of component score on power estimates for the small-ES scenario (b = -0.01, t = -0.98, p = .329).",results,Results,5,4,8,0956797616647519,t = -0.98,TRUE,b = -0.01,TRUE
"However, when the ES was medium or large, respondents with higher component scores had higher (and hence more accurate) power estimates (b = 0.02, t = 2.26, p = .025, and b = 0.04, t = 3.94, p < .001, respectively).",results,Results,5,4,9,0956797616647519,t = 2.26; t = 3.94,TRUE,b = 0.02; b = 0.04,TRUE
"Furthermore, when the specified ES was large, respondents with higher component scores gave smaller estimates of the sample size required to achieve a power of .80 (b = -12.89, t = -2.56, p = .011), which again resulted in estimates closer to the true value.",results,Results,5,4,10,0956797616647519,t = -2.56,TRUE,b = -12.89,TRUE
"Component score did not significantly predict sample-size estimates when the ES was small or medium (b = 16.54, t = 1.33, p = .185, and b = -6.30, t = -1.05, p = .296, respectively).",results,Results,5,4,11,0956797616647519,t = 1.33; t = -1.05,TRUE,b = 16.54; b = -6.30,TRUE
"Participants were more accurate in correctly rejecting pseudowords (M = 98%) than correctly accepting words (M = 94%, pooled across nouns and nonnouns), t(25) = 4.99, p < .001, but were faster when responding to words relative to pseudowords, t(25) = 8.38, p < .001.",results,Behavioral results,7,1,2,0956797616657319,t(25) = 4.99; t(25) = 8.38,TRUE,,FALSE
"For nouns, higher accuracies, t(25) = 2.40, p = .024, and shorter RTs, t(25) = 9.57, p < .001, were found for the familiar uppercase format relative to the unfamiliar lowercase format.",results,Behavioral results,7,2,2,0956797616657319,t(25) = 2.40; t(25) = 9.57,TRUE,,FALSE
"For nonnouns, higher accuracies, t(25) = 2.13, p = .043, and shorter RTs, t(25) = 4.25, p < .001, were found for the familiar lowercase format relative to the unfamiliar uppercase format.",results,Behavioral results,7,2,3,0956797616657319,t(25) = 2.13; t(25) = 4.25,TRUE,,FALSE
"Paired-samples t tests for the pseudoword items showed no significant effect of the case format of the initial letter on accuracy, t(25) < 1, p > .250, or RTs, t(25) = 1.33, p = .195.",results,Behavioral results,7,2,4,0956797616657319,t(25) = 1.33,TRUE,,FALSE
"Experiment 1 therefore showed a significant Aubert-Fleischl phenomenon, one-sample t(30) = -12.20, p < .001; pursued stimuli appeared to move more slowly than fixated stimuli.",results,Results,7,1,6,0956797616665351,t(30) = -12.20,TRUE,,FALSE
"Further, Experiment 2 showed a significant contrast effect, one-sample t(25) = -7.22, p < .001; low-contrast stimuli appeared to move more slowly than high-contrast stimuli.",results,Results,7,1,7,0956797616665351,t(25) = -7.22,TRUE,,FALSE
"The respective threshold differences were also in the direction predicted by the Bayesian framework: Pursuit thresholds were significantly greater than fixation thresholds, t(30) = 4.97, p < .001, and low-contrast thresholds were significantly greater than high-contrast thresholds, t(25) = 2.68, p = .013.",results,Results,7,2,1,0956797616665351,t(30) = 4.97; t(25) = 2.68,TRUE,,FALSE
"We found no gender differences in task performance, t(51) = -0.21, p > .250.",results,Complex inhibition,10,1,3,0956797616667447,t(51) = -0.21,TRUE,,FALSE
"We found no gender differences in task performance, t(51) = -0.98, p > .250.",results,Simple inhibition,11,1,3,0956797616667447,t(51) = -0.98,TRUE,,FALSE
"We found no gender differences in task performance, t(51) = -0.66, p > .250.",results,Prospective motor control,12,1,2,0956797616667447,t(51) = -0.66,TRUE,,FALSE
"We found a significant gender difference in task performance: Girls (M = 3.03, SD = 0.64, n = 22) scored higher on working memory than boys did (M = 2.63, SD = 0.74, n = 31), t(51) = -2.06, p = .045.",results,Working memory,13,1,3,0956797616667447,t(51) = -2.06,TRUE,,FALSE
We used the following linear model to capture individual behavioral change in mobile-app usage from before (t = 0) to after the earthquake:,results,Impact of earthquake intensity on behavior,6,1,3,0956797616671712,t = 0,TRUE,,FALSE
"where the dependent variable, y it is the mobile-app usage of individual i at time (week) t; α is a constant; v i is a vector of time-invariant variables for individual i (e.g., age, gender, phone model, service plan, and geographic features, which are the same before and after the earthquake); x it is a vector of telecommunications activities (outgoing calls and texts, activated social-network size as measured by the number of unique people contacted during the period, Web-usage frequency); I it represents the treatment variables, including earthquake intensity and a dummy for telecom infrastructure damage (I it = 0 when t = 0, i.e., the week before the earthquake); and ε it is a random error term.",results,Impact of earthquake intensity on behavior,6,2,1,0956797616671712,t = 0,TRUE,,FALSE
"Specifically, the first-difference model showed that intensity was a significant predictor of increases in usage of communications apps, t = 31.47, p < .001; hedonic apps, t = 25.95, p < .001; and functional apps, t = 14.08, p < .001, after the earthquake.",results,Impact of earthquake intensity on behavior,6,3,5,0956797616671712,t = 31.47; t = 25.95; t = 14.08,TRUE,,FALSE
"Greater earthquake intensity resulted in more outgoing voice calls, t = 65.53, p < .001, and text messages, t = 57.02, p < .001, and increased socialnetwork activation (i.e., more people with social ties to the victim were contacted), t = 82.76, p < .001, controlling for infrastructure damage.",results,Impact of earthquake intensity on behavior,6,4,2,0956797616671712,t = 65.53; t = 57.02; t = 82.76,TRUE,,FALSE
"Using the same fixed-effects model as before (Equation 1) to examine change in Web browsing behavior in the week after the earthquake, we found that although greater intensity predicted more visits to communications Web sites, t = 14.0, p < .001, and functional Web sites, t = 12.23, p < .001, it predicted fewer visits to hedonic Web sites, t = -3.00, p < .01 (see Section 4.2 in the Supplemental Material).",results,Impact of earthquake intensity on behavior,6,8,3,0956797616671712,t = 14.0; t = 12.23; t = -3.00,TRUE,,FALSE
"Anger was lower in the other condition compared with the self condition, t(199) = -2.41, p = .017, d = -0.34, 95% CI = [-0.62, -0.06], but disgust showed the opposite pattern, t(199) = 1.78, p = .077, d = 0.25, 95% CI = [-0.03, 0.53].",results,Results,6,2,5,0956797617692000,t(199) = -2.41; t(199) = 1.78,TRUE,d = -0.34; d = 0.25,TRUE
"However, there was no simple effect of target condition on surprise, t(199) = 0.58, p > .25, d = 0.08, 95% CI = [-0.36, 0.19].",results,Results,6,2,8,0956797617692000,t(199) = 0.58,TRUE,d = 0.08,TRUE
"Results were, again, more in line with a sociofunctional perspective than an equivalence perspective: Anger related positively to higher-cost, physically or verbally aggressive sentiments (direct aggression), t(102.65) = 2.26, p = .026, b = 0.07, 95% CI = [0.01, 0.14], whereas disgust did not, t(802.32) = 0.25, p > .25, b = 0.01, 95% CI = [-0.04, 0.05].",results,Results,12,3,1,0956797617692000,t(102.65) = 2.26; t(802.32) = 0.25,TRUE,b = 0.07; b = 0.01,TRUE
"Further, disgust related positively to sentiments in favor of lower-cost social exclusion and reputational attacks (indirect aggression), t(165.08) = 4.96, p < .001, b = 0.12, 95% CI = [0.07, 0.17], but anger did not, t(818.95) = 1.49, p = .135, b = 0.04, 95% CI [-0.01, 0.09].",results,Results,12,3,2,0956797617692000,t(165.08) = 4.96; t(818.95) = 1.49,TRUE,b = 0.12; b = 0.04,TRUE
