id,coi_check,coi_check_oi,paper_set
10.5018_economics-ejournal.ja.2019-5,NA,"Economics: The Open-Access, Open-Assessment E-Journal 13 Global Solutions Papers on how other central banks have received the US decision and the consequent fear that strategic conflicts can trigger costly uncertainty and instability in interest rates differentials and exchange rate behaviour.",../_papers/economics.rds
10.5018_economics-ejournal.ja.2019-8,NA,"• Value-Guardian role: fostering and helping express diverse values (religious, ideological, cultural etc.) across a population and within particular groups when governments are either constrained by majority will or autocratically set preferences, thereby contributing to expressive diversity and easing of potential tensions; • Advocacy role: when governments fail to serve all needs and groups in the population equally well, and when prevailing interests and social structures can disadvantage certain groups while given unjust preference to others, CSOs can serve as public critics and become advocates, thereby giving voice to grievances, reducing conflicts and possibly effecting policy change.",../_papers/economics.rds
10.5018_economics-ejournal.ja.2010-29,NA,"For the purpose of competition assessment, arc own and cross elasticities, typically associated with a 5 percent price rise, are of interest.",../_papers/economics.rds
10.5018_economics-ejournal.ja.2012-19,NA,"However, one should bear in mind when considering issues of competition, these industries where there are a small number of players could also be of interest.",../_papers/economics.rds
10.5018_economics-ejournal.ja.2014-23,NA,"Since prudent Competition Authorities (using ex ante intervention) should adopt a restrictive policy, our framework gives a supplementary reason to explain why US Horizontal Merger Guidelines and EC Merger Regulation are biased in favor of the consumers' interests.

Consequently, the merged firm benefits from higher equilibrium profits under complete information, and it has an interest in revealing information about its own cost to competing firms.",../_papers/economics.rds
10.5018_economics-ejournal.ja.2016-31,NA,"Interest rates are assumed to be determined exogenously as a result of competition, changing as a result of the excess demand or supply of funds in the financial market.",../_papers/economics.rds
10.5018_economics-ejournal.ja.2019-37,NA,"Instead, the competition authorities could evaluate the social purposes of companies in relation to the wider public interest and design regulations to bring these into greater consonance with one another.",../_papers/economics.rds
10.5018_economics-ejournal.ja.2019-39,NA,"One is that if the second, rational, system tends to dominate the decision-making too much, the first, gene-based emotional system might fight back over generations of selection, and enhance the magnitude of the reward value specified by the genes, so that emotions might actually become stronger as a consequence of them having to compete in the interests of the selfish genes with the rational decision-making process.",../_papers/economics.rds
10.5018_economics-ejournal.ja.2020-10,NA,"Here, ω describes the degree of competition within the banking sector and is a measure for the mark up the bank can charge on interest above deposits.",../_papers/economics.rds
10.5018_economics-ejournal.ja.2020-13,NA,"In a perfectly competitive banking market, the interest rate on checkable deposits should be positive and follow the federal funds rate.foot_1 However, before 2012, under the Regulation Q, banks in US were prohibited from paying interest on checking accounts.

Each period, banks pay the interest rate R m t for these ZMDs which is determined by the perfectly competitive market.",../_papers/economics.rds
207607607101731537961717,NA,"However, in the context of continuing neoliberal approaches to higher education that have seen the emergence of mass participation (Marginson 2016a(Marginson, 2016b)), income-contingent loans (Barr 2017;Palfreyman and Tapper 2016), and an increasing recognition of a more competitive global graduate labor market (Brown 2003;Brown et al. 2011), there is now renewed policy and practice interest in both social mobility and graduate employment (Vigurs et al.",../_papers/mdpi.rds
207607607101731537961717,NA,"However, this particular type of career management strategy is quite markedly different from those who are entering higher education to pursue highly competitive occupations, to develop their career interests, or simply as a means to an undefined end.",../_papers/mdpi.rds
2076076012116161699089837,NA,"As a result, there is no information verified by a third party, but rather the information provided in the transparency declaration by the entities.",../_papers/mdpi.rds
journal.pbio.1002060,NA,This centralization of contract services in a technology transfer or research services office is problematic because it can lead not only to delays but also to conflicts between the interests of researchers and the interests of their institutions.,../_papers/plos_biology.rds
journal.pclm.0000073,"Prasad and Munch [28] studied whether any of six different types of state-level environmental policy (net metering, retail choice, fuel generation disclosure, mandatory green power options, public benefit funds, and renewable portfolio standards) was associated with declining carbon emissions in the 39 states with the greatest potential for the development of renewable energy, from 1997 to 2008.",NA,../_papers/plos_climate.rds
journal.pclm.0000075,NA,"It aligns with the literature about conflict transformation where solving a conflict imply recognizing different cultures and interest and addressing relationships, attitudes, behaviours, interests and discourses in violence-prone conflict settings through creating dialogue processes [102,103].

It aligns with the literature about conflict transformation where solving a conflict imply recognizing different cultures and interest and addressing relationships, attitudes, behaviours, interests and discourses in violence-prone conflict settings through creating dialogue processes [102,103].",../_papers/plos_climate.rds
journal.pclm.0000076,NA,"Conflict emerged among the interest groups, organizations, and activists in support of the ballot initiative in 2016.",../_papers/plos_climate.rds
journal.pclm.0000280,NA,"These actors possess distinct interests, priorities, and capabilities in addressing both climate-related challenges and conflict prevention.

The Kenya Food Security Meeting is a multi-stakeholder exchange forum open to all organizations with an interest in food security.",../_papers/plos_climate.rds
journal.pclm.0000287,NA,"Given conflicts among interest group, incomplete knowledge, and time constraints, bargaining virtually assures incremental outcomes so that major policy changes occur gradually [63].

Given conflicts among interest group, incomplete knowledge, and time constraints, bargaining virtually assures incremental outcomes so that major policy changes occur gradually [63].",../_papers/plos_climate.rds
journal.pclm.0000346,NA,"Mixed results were found regarding the association of gender, age, education, income and environmental attitudes with EV purchase intentions: Some of the reviewed studies found these factors to have a significant effect, others found non-significant effects and some studies found conflicting effects, such as women being more interested in purchasing EVs than men or men being more interest than women [16].

Mixed results were found regarding the association of gender, age, education, income and environmental attitudes with EV purchase intentions: Some of the reviewed studies found these factors to have a significant effect, others found non-significant effects and some studies found conflicting effects, such as women being more interested in purchasing EVs than men or men being more interest than women [16].",../_papers/plos_climate.rds
journal.pclm.0000420,NA,"Conflicts with Human Interests: Nature’s interests may sometimes conflict with human interests or economic goals, leading to difficulty in balancing conservation and development considerations [11].",../_papers/plos_climate.rds
journal.pclm.0000502,NA,"Additionally, keywords that reflect specialized areas of interest were included, such as #climatejustice and #resourceconflict.

Additionally, keywords that reflect specialized areas of interest were included, such as #climatejustice and #resourceconflict.",../_papers/plos_climate.rds
journal.pclm.0000668,NA,Further investigation is also encouraged about the ways in which a variety of stakeholders may have conflicting interests and priorities.,../_papers/plos_climate.rds
journal.pclm.0000074,NA,"While most of the attention has focused on identifying grazing areas where livestock should be excluded due to low productivities, high environmental impacts and illegal use of lands [22, 67], there has been less interest in quantifying which areas with current livestock use could incorporate crops.",../_papers/plos_climate.rds
journal.pclm.0000076,NA,"Interest group theories describe how groups compete within the political system for influence on policy decisions in hopes to shape policy according to their specific interests [15,16].",../_papers/plos_climate.rds
journal.pclm.0000602,NA,"First, greater freedom in science, public opinion formation and expression, and the impact of interest groups, competing political parties, or news media outlets allow for stronger public demand for environmental protection [8,9,30].",../_papers/plos_climate.rds
journal.pctr.0010006,NA,Drug companies are nervous about posting protocols because they claim it could give away competitive information. Researchers might be reluctant to make available “their” raw data out of fear that this will provide material for their intellectual “competitors.”,../_papers/plos_clinical_trials.rds
journal.pcsy.0000028,"Disclosure’ and ‘Wireless Technologies’. Conversely, skills with the lowest betweenness and closeness centrality are largely specific, technical skills that relate to a small number of occupations or industrial sectors, including ‘Forensic Science’, ‘Public Disclosure’ and ‘Wireless Technologies’.",NA,../_papers/plos_complex_systems.rds
journal.pcsy.0000052,"The intervention improved social support, increased disclosure, and reduced stigma for HIV/AIDS [9].",NA,../_papers/plos_complex_systems.rds
journal.pcsy.0000043,NA,"Eq. (17) conflicts with that result, as the rotation time interacts with the market interest rate in the determination of the leverage effect.

Eq. (17) conflicts with that result, as the rotation time interacts with the market interest rate in the determination of the leverage effect.",../_papers/plos_complex_systems.rds
journal.pcsy.0000043,NA,"Eq. (17) conflicts with Eq. (15) and Fig 2, as the rotation time interacts with the market interest rate in the determination of the leverage effect.",../_papers/plos_complex_systems.rds
journal.pcsy.0000001,NA,"In contrast, some gifts obligate a reciprocation with an interest, characterized by their competitive nature, known by the expression “with gifts you make slaves” [7, 13, 23, 26]. In this study, we focus on “competitive gift-giving” characterized by obligated reciprocation with an interest.",../_papers/plos_complex_systems.rds
journal.pcbi.1010397,"This disclosure provides the patient the ability to opt out of the study if they are not comfortable with this level of data sharing or with the idea that their data may be aggregated, pooled, or reused on new studies far into the future. Data should not be further disclosed beyond the ways permitted by the agreement, and when disclosed via these ways, the data recipient must apply safeguards to prevent unauthorized usage and disclosures. This disclosure provides the patient the ability to opt out of the study if they are not comfortable with this level of data sharing or with the idea that their data may be aggregated, pooled, or reused on new studies far into the future. This disclosure provides the patient the ability to opt out of the study if they are not comfortable with this level of data sharing or with the idea that their data may be aggregated, pooled, or reused on new studies far into the future. Data should not be further disclosed beyond the ways permitted by the agreement, and when disclosed via these ways, the data recipient must apply safeguards to prevent unauthorized usage and disclosures. Data should not be further disclosed beyond the ways permitted by the agreement, and when disclosed via these ways, the data recipient must apply safeguards to prevent unauthorized usage and disclosures.",NA,../_papers/plos_computational_biology.rds
journal.pcbi.1005620,NA,This enabled participants to focus on their specific area of research interest while still being exposed to general principles in bioinformatics and developing the competencies required to conduct sound bioinformatics-based research science.,../_papers/plos_computational_biology.rds
journal.pcbi.1009904,NA,"Future developments introducing in the model chemical signalling or processes such as competition and cooperation could be of interest to understand the microbial spatial organization in complex photosynthetic biofilms.

Future developments introducing in the model chemical signalling or processes such as competition and cooperation could be of interest to understand the microbial spatial organization in complex photosynthetic biofilms.",../_papers/plos_computational_biology.rds
journal.pdig.0000102,"Subtle approaches to reidentification of (potentially improperly) anonymized health data stand in stark contrast to the illegal, forcible acquisition of personal health data by means of a data breach—which includes illegal disclosure, attainment, or use of information without authorization. Theft of medical records—in contrast to credit card records—is attractive to criminals because they contain sufficient information to secure loans, open a bank account, obtain health services and prescription medication, etc. In brief, identity theft may be the principal reason for intentional data disclosure [30]. Of reported data breaches in the USA between 2015 and 2019, the health sector accounted for 76% of all 10 billion cases [31]. Under US federal legislation, if a healthcare data breach affects 500 or more patients, it must be reported to the Office of Civil Rights (OCR). The OCR data breach portal provides an online database describing data breaches of protected health information (PHI) [32]. To evaluate the frequency of PHI data leakage through data breaches, we downloaded and analyzed data containing type of breach, location of breached information, and number of individuals affected during the last 2 years. The most frequent type of PHI data breach was the one produced by hacking activities (72%) followed by unauthorized disclosure (21%).",NA,../_papers/plos_digital_health.rds
journal.pdig.0000138,"Barriers to using 99DOTS included technical issues (phone access, charging, and network connection) and concerns regarding disclosure.",NA,../_papers/plos_digital_health.rds
journal.pdig.0000232,"Digital adherence tools (DAT) with reminder cues have proven feasible among adult people living with HIV (PLHIV), with some concerns about the risk of HIV status disclosure. None of the participants experienced unwanted disclosure or stigmatisation due to DAT. However, there are concerns about HIV status disclosure due to the contents used in the SMSs. Children and adolescents in boarding schools face particular adherence barriers like fear of status disclosure mainly due to drug packaging, lack of privacy during medication intake time, challenges with drug storage and lack of a structured support system in schools [17,18,21]. Also, there are concerns about unwanted disclosure of the HIV status due to the wording used in the SMS texts [35–40]. Some of them were irritated by the content of the SMSs and doubted the overall effect of the reminder SMS; for them, SMSs just increased the tension of unwanted disclosure of status. The reasons for deleting were to empty phone space for a few participants, but most participants did that to prevent unwanted disclosure. None of the participants reported the occurrence of unwanted HIV status disclosure. Some of them were irritated by the content of the SMSs and doubted the overall effect of the reminder SMS; for them, SMSs just increased the tension of unwanted disclosure of status. The reasons for deleting were to empty phone space for a few participants, but most participants did that to prevent unwanted disclosure. None of the participants reported the occurrence of unwanted HIV status disclosure. This was also reported by studies conducted in Kenya and Uganda, in which open contents SMS were found frustrating and increased the risk of unwanted disclosure of HIV status [46,47]. In the Kenyan study among postpartum women, SMS content preference was also related to the status of HIV disclosure to the partner/husband. A study in Kenya among boarding school students reported fear of unintended disclosure due to drug packaging as one of the barriers to ART adherence [17]. These studies similarly reported that fear of unwanted disclosure of HIV status led participants to delete the SMS shortly after reading them, and some could not take their medications even after reminders due to lack of privacy or psychosocial factors. However, this should consider the risk of unwanted disclosure. This was also reported by studies conducted in Kenya and Uganda, in which open contents SMS were found frustrating and increased the risk of unwanted disclosure of HIV status [46,47]. In the Kenyan study among postpartum women, SMS content preference was also related to the status of HIV disclosure to the partner/husband. A study in Kenya among boarding school students reported fear of unintended disclosure due to drug packaging as one of the barriers to ART adherence [17]. These studies similarly reported that fear of unwanted disclosure of HIV status led participants to delete the SMS shortly after reading them, and some could not take their medications even after reminders due to lack of privacy or psychosocial factors. However, this should consider the risk of unwanted disclosure.",NA,../_papers/plos_digital_health.rds
journal.pdig.0000264,"Disclosure, there is a fear that healthcare professionals might be critical of one’s self-management practices: Two publications [43,46] reported that features to support Mutual Disclosure enhanced trust. Related to this theme is Hiding Information, referenced by one publication [53], to avoid accidental disclosure to bystanders who might observe app use—relating to the earlier Fear of Misuse through Theft or Accidental Disclosure theme. 10.1371/journal.pdig.0000264.t003Research gapResultsEvidence for designing digital health technologies that support sharing of personally generated health data with others17 publications that empirically investigate use of these technologies, increasing number of publications in recent yearsLack of systematic and quantifiable measures in studies in this area14 qualitative, 2 mixed-methods, 1 quantitative studyIntentions for sharing personally generated health data with others, motivating adoption and use of digital health technologiesSharing data supports individual self-management and the patient-care provider relationship, engagement with the data for self-reflection, and provides a sense of agency and ownershipPositive user experiencesFacilitating instantaneous access to healthcare professionals, facilitating disclosure of sensitive data, and longevity of data.Negative user experiencesFear of misuse and fear of judgement of self-management practices.Design features to inspire trustMutual disclosure, host credibility, personalisationDesign features relating to identityAnonymisation and contribution to larger sampleDesign features relating to privacySelective data sharing, hiding information to avoid accidental disclosure, presence of informed consent and privacy policy, clear communication of privacy considerationsDesign Features relating to securityCommunication of robust data handling practices Associated with this aspect is also that sharing personally generated health data through digital health technologies can Facilitate Disclosure which was described in two publications [39,40]. The reported experiences fell into two broad themes, Fear of Misuse through Theft or Accidental Disclosure and Fear of Judgement of Self-Management Practices. Concerns reported were theft or accidental disclosure: The fear of accidental disclosure was especially present in rural communities, where there was a high chance that the user’s healthcare staff may possibly live within their local community and know the user and their family and/or friends personally. While sharing data can also Facilitate Disclosure, there is a fear that healthcare professionals might be critical of one’s self-management practices: Two publications [43,46] reported that features to support Mutual Disclosure enhanced trust. Related to this theme is Hiding Information, referenced by one publication [53], to avoid accidental disclosure to bystanders who might observe app use—relating to the earlier Fear of Misuse through Theft or Accidental Disclosure theme. Associated with this aspect is also that sharing personally generated health data through digital health technologies can Facilitate Disclosure which was described in two publications [39,40]. The reported experiences fell into two broad themes, Fear of Misuse through Theft or Accidental Disclosure and Fear of Judgement of Self-Management Practices. Concerns reported were theft or accidental disclosure: The fear of accidental disclosure was especially present in rural communities, where there was a high chance that the user’s healthcare staff may possibly live within their local community and know the user and their family and/or friends personally. While sharing data can also Facilitate Disclosure, there is a fear that healthcare professionals might be critical of one’s self-management practices: Two publications [43,46] reported that features to support Mutual Disclosure enhanced trust. Related to this theme is Hiding Information, referenced by one publication [53], to avoid accidental disclosure to bystanders who might observe app use—relating to the earlier Fear of Misuse through Theft or Accidental Disclosure theme. 10.1371/journal.pdig.0000264.t003Research gapResultsEvidence for designing digital health technologies that support sharing of personally generated health data with others17 publications that empirically investigate use of these technologies, increasing number of publications in recent yearsLack of systematic and quantifiable measures in studies in this area14 qualitative, 2 mixed-methods, 1 quantitative studyIntentions for sharing personally generated health data with others, motivating adoption and use of digital health technologiesSharing data supports individual self-management and the patient-care provider relationship, engagement with the data for self-reflection, and provides a sense of agency and ownershipPositive user experiencesFacilitating instantaneous access to healthcare professionals, facilitating disclosure of sensitive data, and longevity of data.Negative user experiencesFear of misuse and fear of judgement of self-management practices.Design features to inspire trustMutual disclosure, host credibility, personalisationDesign features relating to identityAnonymisation and contribution to larger sampleDesign features relating to privacySelective data sharing, hiding information to avoid accidental disclosure, presence of informed consent and privacy policy, clear communication of privacy considerationsDesign Features relating to securityCommunication of robust data handling practices While there seem to be positive aspects of instantaneous access and benevolence to sharing data, many fear misuse through Theft or Accidental Disclosure. It was found that mutual disclosure of sharing data can inspire trust.",NA,../_papers/plos_digital_health.rds
journal.pdig.0000417,"The TR proactively addresses this omission by referencing the competitive landscape and notes possible further disclosure later. While this may justify some of the nondisclosure, the gravity of potential harms in the interim that could result from lack of access to this information justifies an expectation of greater efforts toward more adequate stopgap measures. The TR proactively addresses this omission by referencing the competitive landscape and notes possible further disclosure later. While this may justify some of the nondisclosure, the gravity of potential harms in the interim that could result from lack of access to this information justifies an expectation of greater efforts toward more adequate stopgap measures. Ensuring appropriate disclosures both for proprietary as well as safety reasons, along with documentation of adequate testing and mitigation measures for foreseable risks, including to the environment, are among the necessary points of reference in developing a responsible approach to the provision and deployment of GPT-4. Ensuring appropriate disclosures both for proprietary as well as safety reasons, along with documentation of adequate testing and mitigation measures for foreseable risks, including to the environment, are among the necessary points of reference in developing a responsible approach to the provision and deployment of GPT-4.",NA,../_papers/plos_digital_health.rds
journal.pdig.0000495,"The subsequent adoption of Model Cards [21] was a further step to standardize the disclosure of key performance characteristics for trained ML algorithms. We note that guidelines established by the SRQR and COREQ have been criticized for being overly rigid and for adopting a focus on checklist detail, rather than retaining focus on the holistic outcomes of relevant disclosures [80]. This protocol considers the shortcomings of comparable frameworks and instead invites teams to nominate the most relevant elements for disclosure in each situation. Written statements, diagrams, illustrations, audio-visual and multi-modal content are all viable media for the expression of positionality in this disclosure protocol. Core attributes of the TC broadly comprise a discussion of team positionality and disclosure of team composition and are detailed below (Table 1). They can be thought of as a synthesis of two primary tenants of AI assurance and governance: (i) a self-reflective component to support the effective mitigation of harmful bias and (ii) a disclosure component to encourage greater accountability. Finally, while we believe that TC disclosures should primarily include information typically disclosed in research endeavors, we acknowledge that publicly sharing sensitive personal information may pose privacy risks. Teams should carefully consider these factors when compiling TC disclosures. We note that the inclusion of photographs with corresponding pronouns and LGBTQIA+ affiliation could improve the disclosure by providing a more complete visual representation of our social diversity. This level of disclosure has not been pursued by the team in recognition of the potentially sensitive nature of these attributes, due to the risk of potential discrimination. We have aggregated certain descriptors for the purposes of this illustration but could provide more granular disclosure to oversight bodies as needed. While efforts have been taken to balance dual commitments to individual privacy as well as to transparency and accountability, individual attributes that are not directly interpretable from the illustration prepared, could be vulnerable to reidentification in the context of subsequent TC disclosures. We note that the inclusion of photographs with corresponding pronouns and LGBTQIA+ affiliation could improve the disclosure by providing a more complete visual representation of our social diversity. This level of disclosure has not been pursued by the team in recognition of the potentially sensitive nature of these attributes, due to the risk of potential discrimination. We have aggregated certain descriptors for the purposes of this illustration but could provide more granular disclosure to oversight bodies as needed. While efforts have been taken to balance dual commitments to individual privacy as well as to transparency and accountability, individual attributes that are not directly interpretable from the illustration prepared, could be vulnerable to reidentification in the context of subsequent TC disclosures. As a mitigant, we note that positionality statements in qualitative research serve as a starting point in understanding the objectives and the necessary elements of a TC disclosure. While the most appropriate format of this expression should be left to teams’ discretion, the content of the disclosure should respect a common understanding of the principles above. Additionally, asynchronous AI governance processes could prompt marked variation in the quality and the orientation of TC disclosures across regions. In response to this limitation, we maintain that while the TC is intended to promote greater transparency, it is nevertheless bound by standard privacy protection regulations such as the Health Insurance Portability and Accountability Act or the General Data Protection Regulation [89], which should allow teams to retain autonomy in their personal disclosures. However, this information is scattered across various platforms (e.g.,: websites, publications, presentations) and media (e.g.,: video and print) to little social benefit, whereas a protocol that centralizes all relevant disclosures by a given researcher, would greatly enhance transparency and accountability in the development of medical AI systems. We also note that the current scale of institutional research and development of medical AI systems presents a practical impediment to the implementation of the TC; certain disclosure parameters may become cumbersome to track where projects involve multiple teams collaborating across various stages of the AI development lifecycle. These disclosures could be accompanied by a clear record of the AI system’s progression, linking and narrating all relevant TC disclosures. As a mitigant, we note that positionality statements in qualitative research serve as a starting point in understanding the objectives and the necessary elements of a TC disclosure. While the most appropriate format of this expression should be left to teams’ discretion, the content of the disclosure should respect a common understanding of the principles above. Additionally, asynchronous AI governance processes could prompt marked variation in the quality and the orientation of TC disclosures across regions. In response to this limitation, we maintain that while the TC is intended to promote greater transparency, it is nevertheless bound by standard privacy protection regulations such as the Health Insurance Portability and Accountability Act or the General Data Protection Regulation [89], which should allow teams to retain autonomy in their personal disclosures. However, this information is scattered across various platforms (e.g.,: websites, publications, presentations) and media (e.g.,: video and print) to little social benefit, whereas a protocol that centralizes all relevant disclosures by a given researcher, would greatly enhance transparency and accountability in the development of medical AI systems. We also note that the current scale of institutional research and development of medical AI systems presents a practical impediment to the implementation of the TC; certain disclosure parameters may become cumbersome to track where projects involve multiple teams collaborating across various stages of the AI development lifecycle. These disclosures could be accompanied by a clear record of the AI system’s progression, linking and narrating all relevant TC disclosures.",NA,../_papers/plos_digital_health.rds
journal.pdig.0000519,"Disclosure of ""sensitive"" data concerning medical conditions or symptoms can adversely affect patients’ lives, giving rise to concerns about social stigma and discrimination. Disclosure of ""sensitive"" data concerning medical conditions or symptoms can adversely affect patients’ lives, giving rise to concerns about social stigma and discrimination. This involves publication of validation studies, disclosure of performance metrics, and sharing of algorithm details, such as the testing properties of digital biomarkers (sensitivity, specificity, and thresholds for action). This involves publication of validation studies, disclosure of performance metrics, and sharing of algorithm details, such as the testing properties of digital biomarkers (sensitivity, specificity, and thresholds for action).",NA,../_papers/plos_digital_health.rds
journal.pdig.0000163,NA,"There are indications that the public interest concept is evolving in relation to virtual care as regulators continue to balance public safety, equitable access to services, and economic competitiveness.",../_papers/plos_digital_health.rds
journal.pdig.0000163,NA,"The paramountcy of the public interest is often enshrined in legislative frameworks, requiring regulators to protect the public against negligence, dishonesty, and incompetence by ensuring only those fit to practice safely are registered or licensed to practice [5,6].

Despite the mandate to protect the public, professional regulation has historically been criticized as potentially being driven by private interests since it can result in reduced competition for services and actions that benefit the professionals being regulated, at the expense of the public who must pay more for their services [10,11]. In particular, regulatory restrictions around scope of practice have been criticized for being anti-competitive and not reflecting the public interest [15,16].",../_papers/plos_digital_health.rds
journal.pdig.0000163,NA,"In some sources, public interest considerations were implied by the regulatory activities discussed, such as the public health impacts of relaxed prescribing rules and preventing incompetent or unethical practice when services are provided virtually [35–42].

Requiring patients or clients to travel for services that can be safely provided virtually could be viewed as acting in the interests of professionals to reduce competition for local providers. In short, while licensing boards must protect the public interest, they need to do so in a way that balances public safety with promoting a robust, competitive economy [67].

In some sources, public interest considerations were implied by the regulatory activities discussed, such as the public health impacts of relaxed prescribing rules and preventing incompetent or unethical practice when services are provided virtually [35–42].

Requiring patients or clients to travel for services that can be safely provided virtually could be viewed as acting in the interests of professionals to reduce competition for local providers. In short, while licensing boards must protect the public interest, they need to do so in a way that balances public safety with promoting a robust, competitive economy [67].",../_papers/plos_digital_health.rds
journal.pdig.0000163,NA,"Our review found a focus in the academic literature on balancing public safety with equitable access to services and economic competitiveness to determine the public interest [87].

While the literature did not always explicitly discuss the public interest, the reviewed literature focused on balancing public safety with equitable access to services and economic competitiveness, particularly given the pandemic-driven demand for virtual care.",../_papers/plos_digital_health.rds
journal.pdig.0000620,NA,"The five domains consist of 16 subdomains, including physical readiness for the school day, physical independence, gross and fine motor skills, overall social competence, responsibility and respect, approaches to learning, readiness to explore new things, prosocial and helping behavior, anxious and fearful behavior, aggressive behavior, hyperactivity and inattentive behavior, basic literacy, interest literacy/numeracy and memory, advanced literacy, basic numeracy, and communication and general knowledge [26,27].",../_papers/plos_digital_health.rds
journal.pgen.1006607,NA,"Although promoter binding was detected under non-starved conditions to minimise competition for cis-elements by endogenous bZIP11 (Fig 1B), analyses on starvation stimulated binding would be of interest to disclose if additional post-translational mechanism operate to modulate bZIP11 binding specificity and strength as it has been previously proposed [8].

Although promoter binding was detected under non-starved conditions to minimise competition for cis-elements by endogenous bZIP11 (Fig 1B), analyses on starvation stimulated binding would be of interest to disclose if additional post-translational mechanism operate to modulate bZIP11 binding specificity and strength as it has been previously proposed [8].",../_papers/plos_genetics.rds
journal.pgen.1008763,NA,"Thus, it is of interest to determine whether the reduced feeding RNAi efficiency in sid-3 mutants is due at least in part to the impairment in recycling.",../_papers/plos_genetics.rds
journal.pgph.0000765,"Advocates spoke of providing peer support to others affected by Obstetric Fistula, such as encouraging disclosure, giving advice and support and facilitating access to and uptake of treatment.",NA,../_papers/plos_global_public_health.rds
journal.pgph.0002018,The absence of identifying information in the datasets precluded retrospective request for informed consent while simultaneously protecting against risk of harms due to deductive disclosure.,NA,../_papers/plos_global_public_health.rds
journal.pgph.0002852,"Access to the dataset was restricted to authorized personnel, and stringent data protection protocols were implemented to prevent unauthorized access or disclosure.",NA,../_papers/plos_global_public_health.rds
journal.pgph.0002922,"Many people learned their HIV status for the first time, which led to increased disclosure and consequent fear of stigma from disclosure, but also magnified linkage to care. Non-disclosure and purposeful transmission beliefs A persistent rumour youth report is belief that others engage in purposeful transmission of HIV, which youth tie to lack to disclosure. Such consequences can include stigma and challenges to one’s social relations (e.g. finding a marriage partner, disclosure, etc).",NA,../_papers/plos_global_public_health.rds
journal.pgph.0003364,"Contextual barriers including fear of HIV stigma and disclosure if diagnosed with HIV, and expectations of poor treatment in clinics may have inhibited linkage to care. Financial incentives were easier to implement and acted as catalysts to improve uptake of HIV testing, however the external factors such as fear of stigma and disclosure, as well as perceptions of long queues and poor treatment in clinics acted as barriers and may explain the null effect of both interventions on linkage to care.",NA,../_papers/plos_global_public_health.rds
