text,section,header,div,p,s,id
M Browning is supported by a Clinician Scientist Fellowship from the Medical Research Council (MR/N008103/1) and by the National Institute for Health Research (NIHR) Oxford Health Biomedical Research Centre.,funding,Funding,15,1,3,09567976211015942
This research was supported by the Economic and Social Research Council (Grant No.,funding,Funding,24,1,1,09567976211016410
These latter two factors were based on work suggesting that ToM reasoning is supported by executive selection to resolve competition between salient cues.,method,Design,6,3,7,09567976211017870
"Indeed, in addition to divergent behavioral profiles, the cognitive systems coopted to resolve each source of conflict were condition specific: Managing competing self-other perspectives was supported by attentional systems, whereas invalid cuing drew from spatial working memory.",discussion,Discussion,16,1,7,09567976211017870
"However, the magnitude of conflict experienced and the cognitive systems coopted to resolve this were condition specific: Managing competing cognitive perspectives was supported by attentional systems, whereas invalid cuing appeared to draw on spatial working memory.",discussion,Conclusion,18,1,3,09567976211017870
"M Tsakiris was supported by the NOMIS Foundation Distinguished Scientist Award for the ""Body & Image in Arts & Science"" project.",funding,,14,1,2,09567976211018618
This research was supported by a Social Sciences and Humanities Research Council Insight Development Grant (430-2016-00094) to E Hehman.,funding,Funding,17,1,1,09567976211019950
This research was supported by a Social Sciences and Humanities Research Council Insight Development Grant (430-2016-00094) to E Hehman and J K Flake.,funding,Funding,17,1,1,09567976211024259
"This work was supported by the Social Science and Humanities Research Council of Canada, the University of Toronto, and the Mind and Life Institute.",funding,Funding,20,1,1,09567976211024260
This work was supported by National Institute of Mental Health Grant 2P50 MH094258 and Social Sciences and Humanities Research Council of Canada Grant 435-2016-1274.,funding,Funding,17,1,1,09567976211026983
This work was supported by a Natural Sciences and Engineering Research Council Discovery Grant (RGPIN-2019-05548) to M C Moulson.,funding,Funding,17,1,1,09567976211030630
This work was supported by grants to M Montrey (Canada Graduate Scholarships -Master's [CGS M] and Canada Graduate Scholarships -Doctoral [CGS D]) from the Natural Sciences and Engineering Research Council of Canada.,funding,Funding,18,1,1,09567976211032224
This work was supported by The Netherlands Organisation for Scientific Research (NWO Veni Grant 016.,funding,Funding,15,1,1,09567976211032676
"This is also supported by the finding that later-born women participate more in the labor force than earlier-born women ( Juhn & Potter, 2006).",discussion,Discussion,13,2,5,09567976211037971
This work was supported by the Centre for Research and Evidence on Security Threats (Economic and Social Research Council Award No.,funding,Funding,13,1,1,09567976211040491
"The provision of calorie information to aid healthy eating is supported by qualitative research showing that consumers use energy content information (calories) as a proxy for the overall nutritional value of a product (van Kleef et al., 2008).",results,"Studies 2a, 2b, and 2c",6,2,4,09567976211043426
An impact of postdecisional evidence integration on confidence resolution in the free-response task is also supported by a median split of the confidence resolution between trials in which the response was entered before or after the median RT on the last frame before stimulus termination (Fig.,discussion,General Discussion,12,3,6,09567976211043428
"In particular, they relied on total evidence when the termination of the evidence stream was independent of their choice, as is normatively supported by signal detection models.",discussion,General Discussion,12,5,4,09567976211043428
This research was supported by a grant to M Usher from the Israel Science Foundation (Grant No.,funding,Funding,16,1,1,09567976211043428
The Max Planck UCL Centre for Computational Psychiatry and Ageing Research is a joint initiative supported by University College London and the Max Planck Society.,funding,Funding,16,1,5,09567976211043428
"(2017): For each simulation, I evaluated which random-effects structure (i.e., model versions RS 1, RS 2, RS, or no RS) was best supported by the data and kept the BF for the effect of interest from the best-supported model version.",results,Results,5,3,5,09567976211046884
"However, when one looks at the scenario in which the random-effects structure of the model is determined empirically, including only those random slopes that are supported by the data (lower half of Table 9), increasing the number of trials noticeably reduces the proportion of misses.",results,Oberauer,19,1,6,09567976211046884
This work was supported by the Natural Sciences and Engineering Research Council of Canada.,funding,Funding,15,1,1,09567976211048485
Preparation of this article was supported by Grant No.,funding,Funding,17,1,1,09567976211049439
This research was supported by the Natural Sciences and Engineering Research Council and the Connaught New Researcher Award.,funding,Funding,18,1,1,09567976211055375
This research was supported by a grant from the Swiss National Science Foundation (Project 100014_179002).,funding,Funding,13,1,1,09567976211068045
"This work was supported by Biotechnology and Biological Sciences Research Council Grant BB/M007847/1, by the British Council, and by the Department for Business, Innovation and Skills in the United Kingdom (Award SC037733 to the GII Seeing with Sound Consortium).",funding,Funding,15,1,1,09567976211068070
This study was supported by Japan Society for the Promotion of Science (JSPS) KAKENHI Grant Nos.,funding,Funding,13,1,1,09567976211068880
T Asai was supported by JSPS KAKENHI Grant No.,funding,Funding,13,1,3,09567976211068880
"H Imamizu and T Asai were also supported by ""Research and development of technology for enhancing functional recovery of elderly and disabled people based on noninvasive brain imaging and robotic assistive devices,"" Commissioned Research of National Institute of Information and Communications Technology (NICT), and the Japan Agency for Medical Research and Development (AMED; Grant No.",funding,Funding,13,1,5,09567976211068880
This work was supported by the Canadian Institutes of Health Research (Operating Grant No.,funding,Funding,22,1,1,0956797621991137
"Instead, we consider more broadly whether the effect of emotion on ""what,"" ""when,"" and ""which"" may evoke different mechanisms; we draw on recent theoretical models that propose that memory enhancements for negative items versus the reduced binding of those items to their context are supported by somewhat distinct neurocognitive systems.",discussion,Discussion,13,8,1,0956797621991548
"Although a detailed discussion of the neuroimaging literature is beyond the scope of this article, we note that these theoretical ideas are supported by functional MRI data (e.g., Bisby et al., 2016;Kensinger & Schacter, 2006;Madan et al., 2017).",discussion,Discussion,13,8,4,0956797621991548
This work was supported by a Discovery Grant from the Natural Sciences and Engineering Research Council of Canada (RGPIN-2019-04596) and the John R Evans Leaders Fund from the Canadian Foundation for Innovation (38817).,funding,Funding,15,1,1,0956797621991548
This research was supported by a grant from the Social Sciences and Humanities Research Council of Canada to M Inzlicht (No.,funding,Funding,20,1,1,0956797621995202
This research was supported by an Israel Science Foundation grant (2414/20) to Y Pertzov and a German Israel Foundation grant (I-2416-105.4/2016) to Y Pertzov.,funding,Funding,15,1,1,0956797621996660
"This work was supported by Academy of Finland Grants 274521, 284385, and 319403 as well as Horizon 2020 European Research Council Grant ERC StG-2015-680002-HBIS.",funding,Funding,20,1,1,0956797621997350
This work was supported by Canadian Foundation for Innovation Grant 7115 and Social Sciences and Humanities Research Council of Canada Grants 430-2018-00509 and 767-2018-1484.,funding,Funding,15,1,1,0956797621997366
This work was supported by the Swiss Federal Office for the Environment and a grant from the Swiss National Science Foundation (PZ00P1_174042).,funding,Funding,29,1,1,0956797621998312
"This mechanism is supported by preclinical work suggesting that multiple neuroimmune communication routes are enhanced in stressed animals (Dudek et al., 2020;Menard et al., 2017;Wohleb et al., 2016) and illustrated by recent experiments in which stressed adults exhibited greater depressed mood in response to inflammatory stimulation (Irwin et al., 2019;Kuhlman et al., 2020).",discussion,Discussion,17,2,3,09567976221079633
This work was supported by the National Cancer Institute (Grant No.,funding,Funding,21,1,1,09567976221079633
C M Crespi was supported by the National Cancer Institute (Grant No.,funding,Funding,21,1,3,09567976221079633
"A role for noradrenaline in information seeking is also supported by recent evidence suggesting pharmacological blockade of noradrenergic-receptor stimulation with propranolol, decreased information gathering in a task in which participants uncovered cards until they felt confident to guess a predominant feature (Hauser et al., 2018).",discussion,Discussion,11,8,2,09567976221082637
"This work was supported by The Netherlands Organisation for Scientific Research (NWO Vidi Award 452-13-016 to FP de Lange and NWO Vici Award 453-14-015 to R Cools), The James McDonnell Foundation (JSMF Scholar Award 220020328 to R Cools), and the EC Horizon 2020 Program (ERC Starting Grant 678286 to FP de Lange).",funding,Funding,13,1,1,09567976221082637
"To determine whether Hypothesis 1 was supported by the current data, we used a logistic multilevel model that had the following form:",method,Analysis,7,1,2,09567976221082941
We are therefore unable to reconcile these results with Hypothesis 3 and conclude that this hypothesis was not supported by the current data.,results,Self-image (Hypothesis 3),13,1,4,09567976221082941
"Furthermore, this work was supported by grants from the Natural Sciences and Engineering Research Council of Canada (N01882) and the German Research Foundation (SFB 940/2 B7) awarded to B Eppinger (principal investigator) and from the Social Sciences and Humanities Research Council of Canada (CGS-M 2019) awarded to S Devine.",funding,,24,1,2,09567976221082941
"The gateway-belief model is supported by a number of studies demonstrating that communicating the existence of scientific consensus can be an effective strategy to elicit accurate perceptions of scientific consensus (i.e., people's estimate of the degree of consensus among scientists), even on controversial issues such as climate change, genetically modified food, and vaccination (Goldberg et al., 2019b;Kerr & Wilson, 2018;Lewandowsky et al., 2013;van der Linden, Clarke, & Maibach, 2015; van der Linden, Leiserowitz, & Maibach, 2019).",intro,[div-01],1,3,6,09567976221083219
This research was supported by a Louisiana Board of Regents Research Competitiveness Subprogram grant to S G Greening.,funding,Funding,23,1,1,09567976221086513
This work was supported by a Metascience Grant from the Fetzer Franklin Fund.,funding,Funding,26,1,1,09567976221094036
The first author is supported by a National Science Foundation Graduate Research Fellowship (No.,funding,Funding,26,1,2,09567976221094036
"This research was supported by National Institute of Mental Health Grant 2P50 MH094258, Social Sciences and Humanities Research Council of Canada (SSHRC) Insight Grant 435-2016-1274, and a Canada Research Chair award to C A Hutcherson.",funding,Funding,19,1,1,09567976221094782
The project was supported by the National Institute of Mental Health (NIMH No.,funding,Funding,20,1,1,09567976221116816
The first author was supported by a graduate research fellowship from the National Science Foundation (Fellow ID: 2016228976) and a postdoctoral fellowship (NIMH No.,funding,Funding,20,1,4,09567976221116816
This work was supported by the National Science Foundation Graduate Research Fellowship Program (Grant No.,funding,Funding,14,1,1,09567976221121348
"This idea is further supported by research showing the modulation of activity in brain regions associated with both saliency detection and autonomic regulation-such as the amygdala, insula, and brainstem-during the perception of threat-related stimuli (Garfinkel et al., 2014;Gray et al., 2009;Makovac et al., 2015).",intro,[div-01],1,2,15,09567976221131519
This study was supported by Discovery Grant RGPIN 2017-06005 awarded to C Oriet from the Natural Sciences and Engineering Council of Canada.,funding,Funding,19,1,1,09567976221131520
"Seeking to address this theoretical gap, we reasoned that preferential attraction effects might occur with visual stimuli but are supported by a property that is inherent only to a particular type of visual stimulus.",intro,[div-01],1,4,3,09567976221134476
"This hypothesis would be supported by attraction effects with quantitative visual attributes along with any of the following three data patterns: a smaller attraction effect with qualitative rather than quantitative visual attributes, no attraction effect with qualitative visual attributes, or a reverse attraction effect with qualitative visual attributes.",intro,[div-01],1,8,1,09567976221134476
LMH was supported by the German National Academic Foundation and EH by the Minerva Programme of the Max Planck Society.,acknowledgement,Acknowledgments,15,1,7,09567976221140326
"This work was supported by the National Science Foundation Social, Behavioral and Economic Postdoctoral Research Fellowship (Grant No. 1911783), the National Science Foundation (Grant No.",funding,Funding,22,1,1,09567976221145316
"Here, we used parietal transcranial alternating current stimulation (tACS) to investigate whether MTT is also supported by parietal beta oscillations and to test the link between MTT and short intervals.",abstract,Abstract,0,1,3,09567976221147259
This is supported by research on endogenous brain oscillations as a mechanism underlying timing networks in the brain.,intro,[div-01],1,1,6,09567976221147259
"We are not, however, claiming that MTT and time estimation are exclusively supported by parietal beta oscillations.",discussion,Discussion,12,6,1,09567976221147259
"Therefore, a correct computation of temporal distances, supported by the parietal cortex, may be more relevant for past than future MTT.",discussion,Discussion,12,7,9,09567976221147259
The study was supported by a grant from the Italian Ministry of Health (Ricerca Finalizzata PE-2016-02362477) to F Frassinetti; M Cappelletti was supported by a grant from the Bial Foundation.,funding,Funding,15,1,1,09567976221147259
"During the writing of this article, E Brummelman was supported by the Jacobs Foundation.",funding,Funding,19,1,2,09567976221150616
There is a long-standing debate on whether novel category learning is supported by a single system (e.g.,abstract,Abstract,0,1,2,09567976231151581
"This research was supported by grants from the Binational Scientific Foundation (2015227) and the National Science Foundation-Binational Scientific Foundation (BSF2016867, NSF BCS1655126) to Y Gabay and L L Holt, respectively, and by a grant from the Israel Science Foundation (Grant No. 734/22) to Y Gabay.",funding,Funding,21,1,1,09567976231151581
This research was supported by a European Research Council (ERC) advanced grant (833029) to J Theeuwes.,funding,Funding,13,1,1,09567976231154804
"This idea is supported by studies in rodents and nonhuman primates showing that even relatively short periods of social isolation can have significant psychological and physiological effects both during development (Orben et al., 2020) and in adulthood (Tomova et al., 2021).",intro,[div-01],1,1,2,09567976231156413
"Comparability of these effects was supported by a large Bayes factor (BF 01 U = 10.79), indicating strong evidence for the absence of a difference between the social isolation and the food deprivation condition.",results,Results,6,1,11,09567976231156413
"This work was supported by Ministry of Science and Technology Science and Technology Innovation (STI) 2030-Major Projects (2021ZD0203200-5), the National Natural Science Foundation of China (82130032, 82021002, and 31930042), and funds from the Innovative Research Team of High-Level Local Universities in Shanghai, Shanghai Municipal Science and Technology Major Project (2018SHZ-DZX01), ZJLab and Shanghai Center for Brain Science and Brain-Inspired Technology.",funding,Funding,18,1,1,09567976231160098
The Adolescent Brain Cognitive Development (ABCD) Study is supported by the National Institutes of Health and additional federal partners under Award Nos.,funding,,16,1,3,09567976231160702
This claim is supported by the fact that the CIs for age and gender perception did not overlap with the CIs for social and trait characteristics until 800 ms of exposure (but see dominance).,results,The time course of initial impression formation differs for different person characteristics,11,2,4,09567976231161565
This work was supported by a Natural Sciences and Engineering Research Council of Canada postgraduate doctoral fellowship to R Zhu (532517-2019).,funding,Funding,16,1,1,09567976231165267
"This was supported by the logistic regression with trajectory choice (T+, T-) as the binary dependent variable and category as the predictor, which showed that participants were 5.57 times more likely to choose T-than T+ in the avoidance category than in the safe category during Acquisition Block 4, exp(1.72), 95% CI = [3.78,8.29].",results,Acquisition,12,1,4,09567976231170878
"These findings were supported by the results of our logistic regression with trajectory choice (T+, T-) as the binary dependent variable and category (avoidance, safe) as the predictor.",results,Generalization,13,2,1,09567976231170878
This research was supported by a Vidi grant from the Netherlands Organization for Scientific Research (NWO; grant ID 452-17-002) granted to Ann Meulders.,acknowledgement,Acknowledgments,17,1,3,09567976231170878
Eveliina Glogan is also supported by a postdoctoral mandate (PDM) from the KU Leuven Research Council Internal Funds (grant ID PDMT2/21/021).,acknowledgement,Acknowledgments,17,1,4,09567976231170878
This research was supported by a William Ladany Faculty Scholarship to T Talhelm.,funding,Funding,28,1,1,09567976231172500
Perception is supported by the integration of bottom-up and top-down processes.,intro,[div-01],1,1,1,09567976231177968
"This research was supported by grants from the National Institutes of Health (R00 4R00HD076166-02), the McDonnell Foundation ( 220020505), and the Natural Sciences and Engineering Research Council of Canada (RGPIN-2020-07129).",funding,Funding,21,1,1,09567976231177968
This material is based on work supported by the National Science Foundation Graduate Research Fellowship Program under Grant No.,funding,Funding,22,1,1,09567976231180578
This material is also based on work supported by the National Science Foundation under grant No. 2122640 to the second author.,funding,Funding,22,1,4,09567976231180578
"The convergent validity of this measure is supported by a high correlation (r = .80) with another measure of this ability, the Diagnostic Analysis of Nonverbal Accuracy (He & Côté, 2019).",method,Measures,7,1,5,09567976231185127
This research was supported by a grant from the Social Sciences and Humanities Research Council (Canada) awarded to Stéphane Côté.,funding,Funding,17,1,1,09567976231185127
"These local regions guide attentional processes that are supported by midlevel vision neural substrates (Ayzenberg et al., 2022;Peirce, 2015).",discussion,Discussion,14,4,6,09567976231190546
"This work was supported by research grants from the National Institute of Child Health and Human Development (to A D W Sullivan, Grant No.",funding,,17,1,1,09567976231194221
This work was supported by a research grant from the Fritz Thyssen Foundation (40.21.0.010PO).,funding,Funding,14,1,1,09567976231196145
"This possibility is supported by evidence that preschool-age children can make nonobvious inferences about other individuals' intentions when deciding whether to accept testimony (e.g., Jaswal, 2004) and that even infants are sensitive to the intentions and goals of others (Buresh & Woodward, 2007;Meltzoff, 1995;see Woodward, 2009).",intro,[div-01],1,4,2,09567976231198194
"Here we report evidence across five independent experiments on adults that perception and imagery are supported by fundamentally different mechanisms: Whereas perceptual representations are largely formed via increases in excitatory activity, imagery representations are largely supported by modulating nonimagined content.",abstract,Abstract,0,1,2,09567976231198435
"This is supported by the fact that mental imagery was nonadditive to adapter-induced suppression and, indeed, seems to reverse it.",discussion,Discussion,10,4,2,09567976231198435
"The alternative explanation of an order effect was not supported by a significant target race by target expression by order interaction, F(1, 394) = 0.02, p = .885.",results,Deconfounding announcement and stimulus set,14,3,5,09567976231218640
"For example, 6 weeks of daily, recording-guided loving-kindness meditation supported by weekly classes decreased White participants' implicit prejudice against homeless and Black persons in the United States (Kang et al., 2014).",intro,Mindfulness and Prejudice Reduction,2,1,3,09567976231220902
This work was supported by the Polish National Science Centre advanced research grant Maestro (No.,funding,Funding,17,1,1,09567976231220902
This work was supported by the Economic and Social Research Council (Grant No.,funding,Funding,14,1,1,09567976231222836
"This work was supported by grants from the Experimental Social Science Laboratory, the Haas Behavioral Laboratory, and the Institute for Personality and Social Research.",funding,Funding,22,1,1,09567976241232891
"With the increasing gap between upper-and lower-class income in the United States, it is more pertinent than ever to consider how we can mitigate the relationship between income and child cognitive development (including EF), as supported by our analysis.",discussion,Family socioeconomic disadvantage is a key factor relating to EF ability,17,3,3,09567976241235931
"This research was supported by a grant from the National Science Foundation (NSF) to primary investigator J A Church (NSF Grant No. 1941193), by University of Texas research funds to J A Church, and by University of Texas funds to B M Porter and E Ben-Asher.",discussion,Funding,24,1,1,09567976241235931
"The ABCD study is supported by the National Institutes of Health and additional federal partners under award numbers U 0 1 DA 0 4 1 0 4 8, U 0 1 DA 0 5 0 9 8 9, U 0 1 DA 0 5 1 0 1 6, U 0 1 DA 0 4 1 0 2 2, U 0 1 DA 0 5 1 0 1 8, U 0 1 DA 0 5 1 0 3 7, U 0 1 DA 0 5 0 9 8 7, U 0 1 DA 0 4 1 1 7 4, U 0 1 DA 0 4 1 1 0 6, U 0 1 DA 0 4 1 1 1 7, U 0 1 DA 0 4 1 0 2 8, U 0 1 DA 0 4 1 1 3 4, U 0 1 DA 0 5 0 9 8 8, U 0 1 DA 0 5 1 0 3 9, U 0 1 DA 0 4 1 1 5 6, U 0 1 DA 0 4 1 0 2 5, U 0 1 DA 0 4 1 1 2 0, U 0 1 DA 0 5 1 0 3 8, U 0 1 DA 0 4 1 1 4 8, U 0 1 DA 0 4 1 0 9 3, U 0 1 DA 0 4 1 0 8 9, U24DA041123, and U24DA041147.",discussion,Funding,24,1,2,09567976241235931
This research was supported by the National Institute of Mental Health (R01 MH110544 and R01 MH110544-S1).,funding,Funding,19,1,1,09567976241235932
This research was supported by the Wharton Behavioral Lab and the Mack Institute for Innovation Management.,funding,Funding,28,1,1,09567976241239935
"TEDS is supported by the UK Medical Research Council (MR/V012878/1 and previously MR/ M021475/1), with additional support from the US National Institutes of Health (AG046938).",acknowledgement,Acknowledgments,20,1,2,09567976241242105
"For the writing of this paper, SvS was supported by the British Academy Mid-Career Fellowship (2022-2023), the Paris Institute for Advanced Study Fellowship (2023-2024), and the CRISP Fellowship from the Jacobs Foundation (2022)(2023)(2024)(2025)(2026)(2027).",acknowledgement,Acknowledgments,20,1,3,09567976241242105
"This work was supported by the British Academy Mid-Career Fellowship, the Institute for Advanced Study Fellowship, and the Creating Impact Science Program Fellowship from the Jacobs Foundation.",funding,Funding,21,1,1,09567976241242105
This work was supported by an Economic and Social Research Council Secondary Data Analysis Initiative Grant and a Nuffield Foundation Grant.,funding,Funding,17,1,1,09567976241243370
The hypothesis that statistical learning affects conscious access is supported by the overlap between the behavioral correlates of statistical learning and conscious access.,intro,[div-01],1,2,1,09567976241263344
"This project was supported by a China Scholarship Council (CSC) scholarship, and it received invitation and financial support for open access from Vereniging van Samenwerkende Nederlandse Universiteiten (VSNU) following the acceptance of the paper.",funding,Funding,28,1,1,09567976241263344
This research was supported by the Social Sciences and Humanities Research Council of Canada (Insight Program) and the Natural Sciences and Engineering Research Council of Canada.,funding,Funding,16,1,1,09567976241263347
This study was supported by a Freigeist Fellowship from the Volkswagen Foundation to P Kanngiesser (Grant No.,funding,Funding,25,1,1,09567976241267854
This work has been supported by the Max Planck Society.,funding,Funding,17,1,1,09567976241279291
C F Doeller's research is further supported by the European Research Council (Grant No.,funding,Funding,17,1,2,09567976241279291
"However, the extension of this procedure to the lip area derives support from several sources.",method,Localization,7,2,2,0956797613520608
"Both the directmatching model and the predictive-coding model, in contrast, predict this pattern of findings and therefore gain support from our results.",discussion,Discussion,9,7,3,0956797613520608
"Our hypothesis receives support from evidence for inhibitory-control deficits in PTSD as measured by motor response-inhibition tasks such as the go/no-go and stopsignal tasks (Falconer et al., 2008), as well as by other tasks that putatively involve memory inhibition, such as directedforgetting and retrieval-induced-forgetting tasks (Amir, Badour, & Freese, 2009;McNally, 1998;McNally, Metzger, Lasko, Clancy, & Pitman, 1998).",intro,Research Article,1,4,3,0956797615569889
"The hierarchical-structure account also receives support from another recent next study (Meiran, Pereg, Givon, Danieli, & Shahar, 2016), which demonstrated that adults who were less successful in the go phase, had poorer fluid intelligence, or were generally slower also had a larger next effect (i.e., adults with poorer working memory might also experience more problems with hierarchical or complex task sets, somewhat similar to children, than adults with better working memory).",discussion,General Discussion,12,2,5,0956797618755322
Behavioral data were collected with support from the National Institutes of Health to the Colorado Learning Disabilities Research Center (Grant No.,funding,Funding,7,1,2,0956797618823540
"Hence, having a happy partner might be related to experiencing support from that partner and, consequently, might improve one's health and longevity.",intro,[div-01],1,2,6,0956797619835147
R P Levy gratefully acknowledges support from an Alfred P Sloan Fellowship.,annex,Declaration of Conflicting Interests,12,2,3,0956797619890619
"The authors acknowledge financial support from the Singapore Ministry of Education Academic Research Fund, Tier 1 (T1 09/2017/115).",funding,Funding,16,1,1,0956797620941840
Study 1: Pulling Life Support From the Terminally Ill Study 1 presents further evidence that people are resistant to exchanging harm for benefits when they can completely avoid committing a harmful act but are more likely to do so when committing some harm is unavoidable.,intro,Overview,3,3,1,0956797620948821
All participants assumed the role of a doctor who faced a decision regarding whether to pull life support from a dying patient to save money that would be used for cancer research.,method,Method,4,2,2,0956797620948821
"In the avoidable-harm condition, participants could choose to pull life support from one dying child to save $60,000 for cancer research or choose not to do so.",method,Method,4,2,3,0956797620948821
"In the unavoidable-harm condition, participants instead faced a decision about whether to pull life support from one dying child to save $800 for cancer research or to pull life support from two dying children to save $50,000 for cancer research.",method,Method,4,2,4,0956797620948821
"In our previous studies, the options in the unavoidableharm conditions furnished increasing marginal returns to committing greater harm (e.g., pulling life support from a second child provided a greater marginal increase in money saved than pulling life support from the first).",results,Study 4: Increasing Versus Diminishing Marginal Returns to Harm,13,1,2,0956797620948821
"If so, we would expect participants to be particularly averse to committing greater harm when it furnishes diminishing marginal returns (e.g., pulling life support from a second child provides a smaller marginal increase in money saved than pulling life support from the first).",results,Study 4: Increasing Versus Diminishing Marginal Returns to Harm,13,1,4,0956797620948821
"Diener, Tay, and Myers (2011) elaborated on why person-culture match confers well-being benefits: People who match are by definition similar to the people around them, are therefore liked more by those people, and receive more social support from them as a result.",intro,[div-01],1,1,3,0956797620951115
"The NTCB was administered in English (Casaletto et al., 2015) using an iPad, with support from a research assistant when needed.",method,Method,4,3,4,09567976231160702
We acknowledge support from the National Natural Science Foundation of China awarded to Xiqian Cai (Grant Nos. 72022015 and 71988101).,funding,Funding,14,1,1,09567976231180881
"This work received financial support from the Max Planck Society to E A Vessel and G Bignardi, a European Research Council Starting Grant to M Vinck (SPATEMP, 850861), a BMBF Grant to M Vinck (Bundesministerium fuer Bildung und Forschung, Computational Life Sciences, project BINDA, 031L0167), and BMBF support to G Bignardi.",funding,Funding,16,1,1,09567976231188107
G0700410) and the Economic and Social Research Council (Grant No.,funding,Funding,11,1,2,0956797614527830
"R01NS088628 to H Lau and S M Fleming), and the Templeton Foundation (Grant No. 21569 to H Lau).",funding,Funding,11,1,2,0956797614557697
"7/7), bombings on the London Underground and bus transport system were an Al Qaeda attack orchestrated by three British-born Muslims from Pakistani immigrant families and one Jamaican man who had converted to Islam.",abstract,Abstract,0,1,1,0956797615615584
"We investigated people's endorsement of fundamental moral principles, their political ideology, and their attitudes toward Muslims and immigrants.",intro,[div-01],1,1,2,0956797615615584
"In the current research, we directly tested whether the 7/7 attacks affected people's prioritization of different moral foundations and whether different moral foundations were associated with prejudices toward Muslims and immigrants.",intro,Moral-Foundations Theory,2,2,3,0956797615615584
Muslims can be considered the immediately relevant out-group for the majority of the population because the terrorist attack was directly linked to Islamic fundamentalism; immigrants can be considered a more general out-group because the attackers were non-White and secondgeneration immigrants.,intro,Moral-Foundations Theory,2,2,4,0956797615615584
"Each of these is clearly relevant to the social implications of a terrorist attack because such attacks may directly threaten the national in-group, may directly challenge authority (which governments usually try to reassert rapidly), may instigate media focus on whether some groups are being treated unfairly (e.g., whether Muslims or immigrants have ""too many rights""), and may prompt governments to debate whether to retaliate and inflict harm on the terrorists (e.g., wage a ""war on terror""; see Breton, 2010;Clarke, 2008;Landau et al., 2004).",method,Measures,9,1,3,0956797615615584
Negative attitudes toward immigrants.,method,Measures,9,8,1,0956797615615584
"Participants were asked to rate their agreement with the following two items: ""Government spends too much money assisting immigrants (people who come to settle in Britain)"" and ""Immigrants increase crime rates.""",method,Measures,9,8,2,0956797615615584
"Moderation analyses were conducted to test whether time (before 7/7 vs. after 7/7) interacted with political orientation to predict (a) endorsement of the in-group foundation, (b) endorsement of the fairness foundation, (c) endorsement of the authority foundation, (d) endorsement of the harm foundation, (e) attitudes toward Muslims, and (f) attitudes toward immigrants.",results,Moderation analyses,12,1,1,0956797615615584
Attitudes toward immigrants.,results,Moderation analyses,12,4,1,0956797615615584
"There was a significant interactive effect of time and political orientation on attitudes toward immigrants, b = -0.09, SE = 0.04, 95% CI = [-0.16, -0.01], t(1922) = -2.28, p = .023 (see Table S2 in the Supplemental Material).",results,Moderation analyses,12,4,2,0956797615615584
"Because we observed a similar pattern of results for the endorsement of the in-group and fairness foundations and for prejudice, we used moderated mediation analyses (Hayes, 2013, Model 8) to test the hypothesis that higher endorsement of the in-group foundation and lower endorsement of the fairness foundation mediate the interactive effect of time and political orientation on attitudes toward Muslims and attitudes toward immigrants.",results,Moderated mediation analyses,13,1,2,0956797615615584
"Participants questioned after 7/7 showed greater endorsement of the in-group foundation, lower endorsement of the fairness foundation, and greater prejudice toward Muslims and immigrants.",discussion,Discussion,15,1,2,0956797615615584
"Moreover, respondents who were more conservative (as opposed to liberal) showed greater prioritization of the in-group foundation, lower prioritization of the fairness foundation, and were less favorable toward Muslims and immigrants.",discussion,Discussion,15,1,3,0956797615615584
The changes in endorsement of these foundations among liberals predicted greater prejudice toward Muslims and immigrants.,discussion,Discussion,15,2,4,0956797615615584
"Our own data showed that the strength of association between political orientation and attitudes toward immigrants before 7/7, Cohen's d = 0.39, r = .19, N = 931, was significantly reduced after 7/7, Cohen's d = 0.18, r = .09, N = 1,100.",discussion,Discussion,15,6,8,0956797615615584
"Analyses of the BSAS data demonstrated that, as expected, the association between political orientation and attitudes toward immigrants had strengthened again later in 2005, Cohen's d = 0.39, r = .19, N = 289, and remained consistent in 2008, Cohen's d = 0.39, r = .19, N = 2,072 (for further information, see the Supplemental Material).",discussion,Discussion,15,6,9,0956797615615584
Attitudes toward immigrants.,fig,,3,1,11,0956797615615584
"Results revealed that endorsement of the in-group foundation indirect effect (b = -0.01, SE = 0.01, 95% CI = [-0.03, -0.003]) and endorsement of the fairness foundation (indirect effect: b = -0.02, SE = 0.01, 95% CI = [-0.04, -0.004]) significantly mediated the interactive effect of time and political orientation on attitudes toward immigrants.",fig,,3,1,12,0956797615615584
"Specifically, the significant interactive effect of time and political orientation on attitudes toward immigrants reported earlier was eliminated when we accounted for the effects of endorsement of the in-group and fairness foundations, b = -0.05, SE = 0.04, t(1920) = -1.44, p = .151, 95% CI = [-0.13, 0.02].",fig,,3,1,13,0956797615615584
Results for attitudes toward immigrants.,fig,Fig. 4 .,4,1,6,0956797615615584
"The graph shows prejudice toward immigrants before and after the July 7, 2005, London bombings, separately for liberals (i.e., participants 1 SD above the mean for political orientation, and above the scale's midpoint) and conservatives (i.e., those 1 SD below the mean for political orientation, and below the scale's midpoint).",fig,Fig. 4 .,4,1,7,0956797615615584
Error bars represent ±1 SE of the conditional effect of time on attitudes toward immigrants at values of political orientation.,fig,Fig. 4 .,4,1,8,0956797615615584
